 ,Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,HJD_UTC,BJD_TDB,AIRMASS,ALT_OBJ,CCD-TEMP,EXPTIME,RAOBJ2K,DECOBJ2K,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_err_T1,rel_flux_err_C2,rel_flux_SNR_T1,rel_flux_SNR_C2,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2
1,aligned_HD_152060Bessell V1007_out.fits,1.000000,0.000000,58592.818609,2458592.818609,2458592.818348,2458592.813523,0.000000,1.275066,51.593685,NaN,45.000000,0.000000,0.000000,3.592282,5.000000,11.000000,17.000000,0.727706,0.000000,0.005128,0.000000,141.918177,0.000000,47827.000000,218.711082,492.033419,510.749730,492.533419,513.750270,34804.000000,78.539816,186.578497,186.538109,3384.000000,443.138291,0.000000,527.000000,3.521158,3.001292,3.283067,2.719517,348.860460,0.959541,770.934792,290.905207,771.434792,733.594793,47827.000000,218.711082,218.676619,4182.000000,608.952277,0.000000,3.663406,3.179993,3.498030,2.861956,351.167280,0.956801
2,aligned_HD_152060Bessell V1010_out.fits,2.000000,0.000000,58592.820380,2458592.820380,2458592.820119,2458592.815295,0.000000,1.264014,52.232703,NaN,45.000000,0.000000,0.000000,6.190978,5.000000,11.000000,17.000000,0.737139,0.000000,0.003634,0.000000,202.850418,0.000000,96979.000000,311.426610,492.138280,511.205531,492.638280,513.294469,71487.000000,78.539816,267.384635,267.356425,4523.000000,910.200753,0.000000,529.000000,4.364097,3.765059,4.068093,3.462025,5.605678,0.973416,771.112014,291.346840,771.612014,733.153160,96979.000000,311.426610,311.402420,5736.000000,1234.774978,0.000000,4.425578,3.949894,4.201246,3.698542,3.439535,0.983699
3,aligned_HD_152060Bessell V1013_out.fits,3.000000,0.000000,58592.822135,2458592.822135,2458592.821875,2458592.817050,0.000000,1.253396,52.866210,NaN,45.000000,0.000000,0.000000,7.085240,5.000000,11.000000,17.000000,0.810101,0.000000,0.002025,0.000000,400.113170,0.000000,357717.000000,598.100774,492.096803,510.613157,492.596803,513.886843,289787.000000,78.539816,538.325674,538.311683,20231.000000,3689.682680,0.000000,528.000000,3.944422,3.889832,4.175925,3.603739,352.665743,0.977128,771.059769,290.786471,771.559769,733.713529,357717.000000,598.100774,598.088175,23382.000000,4554.594302,0.000000,4.035079,4.015602,4.320920,3.710284,352.643448,0.975565
4,aligned_HD_152060Bessell V1016_out.fits,4.000000,0.000000,58592.823906,2458592.823906,2458592.823646,2458592.818821,0.000000,1.243018,53.505150,NaN,45.000000,0.000000,0.000000,7.658854,5.000000,11.000000,17.000000,0.795094,0.000000,0.002558,0.000000,310.865492,0.000000,218188.000000,467.114050,492.296368,510.586122,492.796368,513.913878,173480.000000,78.539816,416.518352,416.500256,11846.000000,2208.815962,0.000000,528.000000,4.156564,3.875547,4.302304,3.448791,9.113367,0.947520,771.249822,290.753923,771.749822,733.746077,218188.000000,467.114050,467.097918,13945.000000,2778.055898,0.000000,4.075904,4.015941,4.449302,3.582579,9.505968,0.949084
5,aligned_HD_152060Bessell V1019_out.fits,5.000000,0.000000,58592.825679,2458592.825679,2458592.825419,2458592.820595,0.000000,1.232947,54.144985,NaN,45.000000,0.000000,0.000000,8.429495,5.000000,11.000000,17.000000,0.770407,0.000000,0.002896,0.000000,266.048850,0.000000,162666.855295,403.329141,491.539370,510.513036,492.039370,513.986964,125319.749003,78.539816,354.015951,353.994639,6981.000000,1595.620602,0.000000,525.000000,4.568202,4.163482,4.786159,3.540804,0.380755,0.914388,770.519091,290.680104,771.019091,733.819896,162666.855295,403.329141,403.310444,8352.000000,2071.138728,0.000000,4.631933,4.328519,4.926500,3.730538,359.356852,0.926455
6,aligned_HD_152060Bessell V1022_out.fits,6.000000,0.000000,58592.827449,2458592.827449,2458592.827188,2458592.822364,0.000000,1.223210,54.783441,NaN,45.000000,0.000000,0.000000,8.577812,5.000000,11.000000,17.000000,0.785262,0.000000,0.002583,0.000000,304.026177,0.000000,210149.000000,458.428332,491.968909,510.473102,492.468909,514.026898,165022.000000,78.539816,406.238272,406.219727,9620.000000,2101.125362,0.000000,528.000000,4.283534,4.055329,4.419235,3.691423,2.185540,0.968118,770.895582,290.633565,771.395582,733.866435,210149.000000,458.428332,458.411894,11770.000000,2675.700171,0.000000,4.442594,4.182464,4.557834,3.807095,5.488605,0.967101
7,aligned_HD_152060Bessell V1025_out.fits,7.000000,0.000000,58592.829220,2458592.829220,2458592.828959,2458592.824135,0.000000,1.213768,55.422373,NaN,45.000000,0.000000,0.000000,8.422892,5.000000,11.000000,17.000000,0.772186,0.000000,0.003069,0.000000,251.584640,0.000000,145272.000000,381.155524,492.225196,511.165497,492.725196,513.334503,112177.000000,78.539816,334.939605,334.917096,7878.000000,1428.281924,0.000000,529.000000,4.099702,3.669554,4.121139,3.217969,359.283350,0.941180,771.210796,291.244374,771.710796,733.255626,145272.000000,381.155524,381.135759,9728.000000,1849.660551,0.000000,4.168270,3.809394,4.266509,3.352280,357.682589,0.943659
8,aligned_HD_152060Bessell V1028_out.fits,8.000000,0.000000,58592.830991,2458592.830991,2458592.830730,2458592.825906,0.000000,1.204616,56.061435,NaN,45.000000,0.000000,0.000000,8.615184,5.000000,11.000000,17.000000,0.700198,0.000000,0.004338,0.000000,161.415155,0.000000,63275.000000,251.560202,491.751546,511.203135,492.251546,513.296865,44305.000000,78.539816,210.505429,210.469632,2841.000000,564.108780,0.000000,528.000000,4.325179,3.752765,4.180036,3.325493,355.614274,0.948264,770.599343,291.273408,771.099343,733.226592,63275.000000,251.560202,251.530248,3729.000000,805.642322,0.000000,4.482296,3.974959,4.467752,3.482165,355.252753,0.938700
9,aligned_HD_152060Bessell V1031_out.fits,9.000000,0.000000,58592.832763,2458592.832763,2458592.832502,2458592.827678,0.000000,1.195743,56.700889,NaN,45.000000,0.000000,0.000000,8.172390,5.000000,11.000000,17.000000,0.768318,0.000000,0.003458,0.000000,222.162258,0.000000,113604.000000,337.063103,491.961300,510.273584,492.461300,514.226416,87284.000000,78.539816,295.451403,295.425911,7007.000000,1111.334404,0.000000,528.000000,3.811686,3.431999,3.917018,2.946981,357.374938,0.922561,770.934164,290.384551,771.434164,734.115449,113604.000000,337.063103,337.040747,8516.000000,1446.451052,0.000000,3.917910,3.596556,4.153764,3.039348,355.402319,0.906038
10,aligned_HD_152060Bessell V1034_out.fits,10.000000,0.000000,58592.834522,2458592.834522,2458592.834262,2458592.829438,0.000000,1.187205,57.335840,NaN,45.000000,0.000000,0.000000,7.906071,5.000000,11.000000,17.000000,0.720638,0.000000,0.004389,0.000000,164.201988,0.000000,64386.000000,253.758817,491.815885,511.241261,492.315885,513.258739,46399.000000,78.539816,215.421762,215.386782,4150.000000,590.770416,0.000000,527.000000,3.718847,3.233041,3.513401,2.952680,357.564669,0.970153,770.675965,291.382904,771.175965,733.117096,64386.000000,253.758817,253.729115,5201.000000,819.788013,0.000000,3.920905,3.426256,3.769934,3.082578,356.841539,0.960068
