 ,Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,HJD_UTC,BJD_TDB,AIRMASS,ALT_OBJ,CCD-TEMP,EXPTIME,RAOBJ2K,DECOBJ2K,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_err_T1,rel_flux_err_C2,rel_flux_SNR_T1,rel_flux_SNR_C2,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2
1,HD106306_Bessell R_0045_out.fits,1.000000,0.000000,58589.489846,2458589.489846,2458589.489817,2458589.484616,2458589.485384,-1.000000,-70.053994,NaN,5.000000,0.000000,0.000000,4.779833,5.000000,11.000000,17.000000,6.848172,0.000000,0.029130,0.000000,235.088003,0.000000,63343.421284,251.696367,451.029390,406.858533,451.529390,617.641467,433786.628772,78.539816,658.630895,658.618707,17663.000000,5523.142897,0.000000,477.000000,4.834422,5.294492,4.981989,5.606996,287.886102,0.978977,800.820858,380.794438,801.320858,643.705562,63343.421284,251.696367,251.666014,2872.000000,806.513489,0.000000,4.725243,5.208538,4.900986,5.516090,287.027705,0.979823
2,HD106306_Bessell R_0048_out.fits,2.000000,0.000000,58589.490323,2458589.490323,2458589.490294,2458589.485092,2458589.485860,-1.000000,-69.881985,NaN,5.000000,0.000000,0.000000,7.774878,5.000000,11.000000,17.000000,7.042237,0.000000,0.031751,0.000000,221.796856,0.000000,56186.211371,237.052381,451.412647,406.352103,451.912647,618.147897,395676.634846,78.539816,629.035191,629.021461,13650.000000,5037.911384,0.000000,486.000000,5.535111,5.530813,5.027220,6.034407,83.267044,0.965511,800.929062,380.297268,801.429062,644.202732,56186.211371,237.052381,237.020237,2004.000000,715.385062,0.000000,5.234813,5.415316,4.966058,5.864574,83.473167,0.971385
3,HD106306_Bessell R_0051_out.fits,3.000000,0.000000,58589.490795,2458589.490795,2458589.490766,2458589.485565,2458589.486333,-1.000000,-69.711351,NaN,5.000000,0.000000,0.000000,8.873510,5.000000,11.000000,17.000000,6.916193,0.000000,0.029696,0.000000,232.897323,0.000000,62090.578523,249.195046,451.212290,405.893593,451.712290,618.606407,429430.452709,78.539816,655.315731,655.303135,15995.000000,5467.678341,0.000000,499.000000,5.180598,5.427487,5.381809,5.473166,279.550146,0.999683,800.871542,379.718759,801.371542,644.781241,62090.578523,249.195046,249.164579,2572.000000,790.561799,0.000000,4.791543,5.262384,5.192439,5.332329,71.482597,0.998891
4,HD106306_Bessell R_0054_out.fits,4.000000,0.000000,58589.491272,2458589.491272,2458589.491243,2458589.486042,2458589.486810,-1.000000,-69.539146,NaN,5.000000,0.000000,0.000000,9.064202,5.000000,11.000000,17.000000,6.910637,0.000000,0.029771,0.000000,232.129206,0.000000,61688.015420,248.386043,450.293896,405.497841,450.793896,619.002159,426303.474841,78.539816,652.925403,652.912987,18767.000000,5427.864422,0.000000,490.000000,4.609277,5.234118,5.139335,5.328900,280.430029,0.998499,799.858853,379.362825,800.358853,645.137175,61688.015420,248.386043,248.355401,2677.000000,785.436207,0.000000,4.645617,5.181325,4.968566,5.394084,271.025482,0.993269
5,HD106306_Bessell R_0057_out.fits,5.000000,0.000000,58589.491734,2458589.491734,2458589.491705,2458589.486504,2458589.487272,-1.000000,-69.372384,NaN,5.000000,0.000000,0.000000,9.032245,5.000000,11.000000,17.000000,6.968678,0.000000,0.030167,0.000000,231.002078,0.000000,61026.155278,247.050087,450.983538,404.968454,451.483538,619.531546,425271.648625,78.539816,652.135277,652.121828,18757.000000,5414.726803,0.000000,500.000000,4.556630,5.198495,4.973336,5.423654,287.470217,0.988875,800.612647,379.037381,801.112647,645.462619,61026.155278,247.050087,247.019364,2761.000000,777.009142,0.000000,4.443659,5.108348,4.817084,5.399612,284.496754,0.983113
6,HD106306_Bessell R_0060_out.fits,6.000000,0.000000,58589.492210,2458589.492210,2458589.492181,2458589.486979,2458589.487747,-1.000000,-69.200814,NaN,5.000000,0.000000,0.000000,9.425066,5.000000,11.000000,17.000000,6.959736,0.000000,0.030461,0.000000,228.482704,0.000000,59712.066719,244.376108,451.848801,404.597482,452.348801,619.902518,415580.197557,78.539816,644.661690,644.648510,16627.000000,5291.331415,0.000000,488.000000,5.085658,5.303417,4.958671,5.648163,78.456259,0.980194,801.392162,378.506523,801.892162,645.993477,59712.066719,244.376108,244.344945,2561.000000,760.277646,0.000000,4.732229,5.179285,4.824032,5.534537,79.638704,0.978689
7,HD106306_Bessell R_0063_out.fits,7.000000,0.000000,58589.492682,2458589.492682,2458589.492653,2458589.487452,2458589.488220,-1.000000,-69.030200,NaN,5.000000,0.000000,0.000000,9.644070,5.000000,11.000000,17.000000,6.957548,0.000000,0.030187,0.000000,230.482657,0.000000,60764.239418,246.519439,452.818647,403.602546,453.318647,620.897454,422770.099413,78.539816,650.213995,650.201476,16652.000000,5382.876089,0.000000,498.000000,5.037701,5.363336,5.086363,5.640310,85.399589,0.989111,802.377103,377.584503,802.877103,646.915497,60764.239418,246.519439,246.488633,2565.000000,773.674325,0.000000,4.825374,5.217261,4.898322,5.536200,86.103604,0.984885
8,HD106306_Bessell R_0066_out.fits,8.000000,0.000000,58589.493156,2458589.493156,2458589.493128,2458589.487926,2458589.488694,-1.000000,-68.859047,NaN,5.000000,0.000000,0.000000,9.445910,5.000000,11.000000,17.000000,6.874771,0.000000,0.029490,0.000000,233.118472,0.000000,62255.899454,249.526577,453.200452,403.625730,453.700452,620.874270,427995.078360,78.539816,654.219743,654.206913,18227.000000,5449.402587,0.000000,489.000000,4.796343,5.181075,5.153447,5.208703,311.155410,0.993647,802.816775,377.548694,803.316775,646.951306,62255.899454,249.526577,249.496066,3029.000000,792.666731,0.000000,4.451406,5.022474,4.952863,5.092086,304.381501,0.994146
9,HD106306_Bessell R_0069_out.fits,9.000000,0.000000,58589.493633,2458589.493633,2458589.493604,2458589.488402,2458589.489171,-1.000000,-68.687089,NaN,5.000000,0.000000,0.000000,10.373414,5.000000,11.000000,17.000000,6.872266,0.000000,0.029982,0.000000,229.210363,0.000000,60189.033949,245.350042,452.994292,403.574047,453.494292,620.925953,413635.034951,78.539816,643.151335,643.137956,13340.000000,5266.564836,0.000000,491.000000,5.727554,5.550732,5.520483,5.580980,57.326147,0.999317,802.728622,377.515185,803.228622,646.984815,60189.033949,245.350042,245.319029,2093.000000,766.350582,0.000000,5.573365,5.368721,5.285833,5.451609,81.819878,0.998965
10,HD106306_Bessell R_0072_out.fits,10.000000,0.000000,58589.494094,2458589.494094,2458589.494065,2458589.488864,2458589.489632,-1.000000,-68.520569,NaN,5.000000,0.000000,0.000000,9.937029,5.000000,11.000000,17.000000,6.873160,0.000000,0.029147,0.000000,235.808260,0.000000,63702.558009,252.408701,454.779082,403.385210,455.279082,621.114790,437837.858692,78.539816,661.699305,661.687046,18549.000000,5574.724759,0.000000,498.000000,4.791020,5.227350,5.054397,5.400303,271.855570,0.995612,804.290556,377.322653,804.790556,647.177347,63702.558009,252.408701,252.378614,2792.000000,811.086160,0.000000,4.709624,5.123033,4.885630,5.360436,274.475934,0.991235
