B		R		V	
Time	Observed	Time	Observed	Time	Observed
58204.70621	379.989933	58204.70621	382.143615	58204.70621	387.307626
58204.70638	112.23786	58204.70638	113.570202	58204.70638	113.888941
58204.70655	51.506583	58204.70655	51.852828	58204.70655	52.045445
58204.70672	30.415982	58204.70672	30.535527	58204.70672	30.64318
58204.70692	380.237597	58204.70692	388.092203	58204.70692	380.098759
58204.7071	105.10182	58204.7071	105.898398	58204.7071	106.180806
58204.70727	51.956246	58204.70727	52.483163	58204.70727	52.614958
58204.70744	33.551701	58204.70744	33.861248	58204.70744	33.898833
58204.70765	360.855637	58204.70765	363.29878	58204.70765	365.696498
58204.70783	115.349647	58204.70783	116.02825	58204.70783	116.583072
58204.708	51.667203	58204.708	51.95623	58204.708	52.223198
58204.70817	31.331533	58204.70817	31.512543	58204.70817	31.666473
58204.70837	384.049095	58204.70837	386.677683	58204.70837	388.21751
58204.70854	110.235217	58204.70854	111.486744	58204.70854	111.382426
58204.70872	55.257709	58204.70872	55.70896	58204.70872	55.877966
58204.70889	34.157275	58204.70889	34.359804	58204.70889	34.521737
58204.7091	393.538026	58204.7091	395.600974	58204.7091	399.376389
58204.70927	115.613756	58204.70927	116.296305	58204.70927	116.790816
58204.70943	51.655523	58204.70943	51.978146	58204.70943	52.192472
58204.70961	33.439842	58204.70961	33.652644	58204.70961	33.793752
58204.70982	396.896538	58204.70982	404.29581	58204.70982	405.855075
58204.70999	117.525113	58204.70999	118.250722	58204.70999	118.780909
58204.71016	55.127349	58204.71016	55.512261	58204.71016	55.731618
58204.71034	35.292561	58204.71034	35.499794	58204.71034	35.691776
58204.71055	413.584509	58204.71055	416.407868	58204.71055	418.158736
58204.71072	117.805102	58204.71072	118.450012	58204.71072	118.781728
58204.71089	57.374147	58204.71089	57.584057	58204.71089	57.90726
58204.71107	34.396386	58204.71107	34.593243	58204.71107	34.781628
58204.71128	464.599448	58204.71128	462.557251	58204.71128	465.23552
58204.71145	123.976523	58204.71145	124.65187	58204.71145	125.600865
58204.71162	59.302849	58204.71162	59.551859	58204.71162	60.020387
58204.7118	35.334996	58204.7118	35.524728	58204.7118	35.739104
58204.71201	461.977461	58204.71201	462.62447	58204.71201	467.139754
58204.71218	123.734634	58204.71218	124.748742	58204.71218	125.379569
58204.71235	57.919503	58204.71235	58.170004	58204.71235	58.49262
58204.71251	34.819315	58204.71251	34.999244	58204.71251	35.226046
58204.71272	451.885947	58204.71272	455.038823	58204.71272	456.944628
58204.7129	119.181528	58204.7129	119.916748	58204.7129	120.530998
58204.71307	54.884697	58204.71307	55.291868	58204.71307	55.562498
58204.71324	36.289367	58204.71324	36.446859	58204.71324	36.697652
58204.71345	403.077859	58204.71345	402.801094	58204.71345	405.44634
58204.71361	120.380351	58204.71361	121.189252	58204.71361	121.716162
58204.71379	53.353872	58204.71379	53.62944	58204.71379	53.953781
58204.71396	35.88915	58204.71396	36.095139	58204.71396	36.372102
