 ,Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,HJD_UTC,BJD_TDB,AIRMASS,ALT_OBJ,CCD-TEMP,EXPTIME,RAOBJ2K,DECOBJ2K,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_err_T1,rel_flux_err_C2,rel_flux_SNR_T1,rel_flux_SNR_C2,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2
1,aligned_HD209522-Bessell B-0049_out.fits,1.000000,0.000000,58410.492801,2458410.492801,NaN,NaN,0.000000,1.038870,NaN,NaN,5.000000,NaN,NaN,8.034218,5.000000,11.000000,17.000000,84.841899,0.000000,0.665443,0.000000,127.496843,0.000000,16454.485679,128.304401,137.388416,497.786173,137.888416,526.713827,1396029.807102,78.539816,1181.540903,1181.533203,26990.000000,17774.803560,0.000000,529.000000,8.997743,6.409531,6.308560,6.510503,307.348021,0.985758,963.869615,656.346415,964.369615,368.153585,16454.485679,128.304401,128.245684,434.000000,209.505019,0.000000,7.070693,5.883249,5.870663,5.895836,314.426191,0.954360
2,aligned_HD209522-Bessell B-0052_out.fits,2.000000,0.000000,58410.493313,2458410.493313,NaN,NaN,0.000000,1.037874,NaN,NaN,5.000000,NaN,NaN,10.227148,5.000000,11.000000,17.000000,71.616555,0.000000,0.453120,0.000000,158.052069,0.000000,25336.694228,159.198706,137.421926,497.619553,137.921926,526.880447,1814526.764973,78.539816,1347.046773,1347.040653,47464.000000,23103.272321,0.000000,529.000000,6.591240,5.968695,6.138828,5.798561,10.423437,0.996285,963.717492,656.258428,964.217492,368.241572,25336.694228,159.198706,159.151383,817.000000,322.596810,0.000000,5.828838,5.465437,5.940839,4.990035,4.224286,0.969531
3,aligned_HD209522-Bessell B-0055_out.fits,3.000000,0.000000,58410.493821,2458410.493821,NaN,NaN,0.000000,1.037874,NaN,NaN,5.000000,NaN,NaN,11.998119,5.000000,11.000000,17.000000,74.602949,0.000000,0.504449,0.000000,147.889916,0.000000,22172.048047,148.928166,136.728828,497.795019,137.228828,526.704981,1654100.161510,78.539816,1286.121424,1286.115083,38283.000000,21060.657366,0.000000,520.000000,7.539313,6.166269,6.473163,5.859375,336.826392,0.979309,963.494010,656.521549,963.994010,367.978451,22172.048047,148.928166,148.877467,629.000000,282.303284,0.000000,6.229777,5.620382,6.119637,5.121128,335.444964,0.927493
4,aligned_HD209522-Bessell B-0058_out.fits,4.000000,0.000000,58410.494333,2458410.494333,NaN,NaN,0.000000,1.036877,NaN,NaN,5.000000,NaN,NaN,12.773972,5.000000,11.000000,17.000000,77.530173,0.000000,0.517384,0.000000,149.850450,0.000000,22752.219817,150.863342,136.807402,497.651002,137.307402,526.848998,1763983.539549,78.539816,1328.153487,1328.147354,40215.000000,22459.735988,0.000000,532.000000,7.484591,6.151184,6.219829,6.082539,38.662473,0.989656,963.156615,656.493448,963.656615,368.006552,22752.219817,150.863342,150.813442,717.000000,289.690260,0.000000,6.065233,5.617764,5.803248,5.432281,36.182737,0.952590
5,aligned_HD209522-Bessell B-0061_out.fits,5.000000,0.000000,58410.494844,2458410.494844,NaN,NaN,0.000000,1.035881,NaN,NaN,5.000000,NaN,NaN,13.682085,5.000000,11.000000,17.000000,76.514541,0.000000,0.530717,0.000000,144.172093,0.000000,21064.686593,145.162750,137.375106,497.769915,137.875106,526.730085,1611754.823375,78.539816,1269.552199,1269.545927,35042.000000,20521.499775,0.000000,527.000000,8.167467,6.281860,5.946307,6.617413,58.022236,0.941134,963.892715,656.067795,964.392715,368.432205,21064.686593,145.162750,145.110826,596.000000,268.203920,0.000000,6.422731,5.811320,5.157270,6.465370,59.238758,0.782679
6,aligned_HD209522-Bessell B-0064_out.fits,6.000000,0.000000,58410.495359,2458410.495359,NaN,NaN,0.000000,1.034884,NaN,NaN,5.000000,NaN,NaN,14.848853,5.000000,11.000000,17.000000,81.451065,0.000000,0.590624,0.000000,137.906742,0.000000,19259.199791,138.804646,137.108645,498.358236,137.608645,526.141764,1568682.327152,78.539816,1252.473815,1252.467164,31563.000000,19973.083721,0.000000,531.000000,8.702408,6.364347,6.132277,6.596416,75.545768,0.993078,963.481065,657.088077,963.981065,367.411923,19259.199791,138.804646,138.750397,480.000000,245.215748,0.000000,7.313212,5.987779,5.397087,6.578471,79.222308,0.955862
7,aligned_HD209522-Bessell B-0067_out.fits,7.000000,0.000000,58410.495860,2458410.495860,NaN,NaN,0.000000,1.034884,NaN,NaN,5.000000,NaN,NaN,14.974786,5.000000,11.000000,17.000000,77.249945,0.000000,0.544928,0.000000,141.761688,0.000000,20363.965097,142.728779,137.416578,497.768916,137.916578,526.731084,1573115.178072,78.539816,1254.242168,1254.235600,32665.000000,20029.524531,0.000000,526.000000,8.386962,6.312188,6.390291,6.234084,322.261640,0.990265,963.541058,656.380831,964.041058,368.119169,20363.965097,142.728779,142.675957,551.000000,259.282056,0.000000,6.713757,5.720363,5.918436,5.522289,323.917257,0.948994
8,aligned_HD209522-Bessell B-0070_out.fits,8.000000,0.000000,58410.496368,2458410.496368,NaN,NaN,0.000000,1.033888,NaN,NaN,5.000000,NaN,NaN,15.588739,5.000000,11.000000,17.000000,81.811764,0.000000,0.608928,0.000000,134.353832,0.000000,18279.034892,135.227846,137.201181,497.637732,137.701181,526.862268,1495440.082181,78.539816,1222.885418,1222.878334,28335.000000,19040.534494,0.000000,528.000000,9.047773,6.390974,6.434476,6.347471,39.437691,0.995022,963.989735,656.213329,964.489735,368.286671,18279.034892,135.227846,135.172122,475.000000,232.735901,0.000000,7.154918,5.930526,5.955877,5.905175,43.424360,0.975814
9,aligned_HD209522-Bessell B-0073_out.fits,9.000000,0.000000,58410.496873,2458410.496873,NaN,NaN,0.000000,1.032891,NaN,NaN,5.000000,NaN,NaN,16.312201,5.000000,11.000000,17.000000,99.069179,0.000000,0.869718,0.000000,113.909499,0.000000,13113.803771,114.548414,137.402791,497.907482,137.902791,526.592518,1299173.772395,78.539816,1139.817079,1139.809006,23707.000000,16541.594225,0.000000,528.000000,9.817211,6.510011,6.233309,6.786714,77.417079,0.991210,964.026497,656.175295,964.526497,368.324705,13113.803771,114.548414,114.482630,331.000000,166.970135,0.000000,7.218453,5.934263,5.570939,6.297586,63.566545,0.959162
10,aligned_HD209522-Bessell B-0076_out.fits,10.000000,0.000000,58410.497377,2458410.497377,NaN,NaN,0.000000,1.031894,NaN,NaN,5.000000,NaN,NaN,17.851655,5.000000,11.000000,17.000000,221.960288,0.000000,3.533446,0.000000,62.816948,0.000000,3971.634969,63.080652,137.331036,497.988054,137.831036,526.511946,881545.243386,78.539816,949.493552,928.437314,14398.000000,11224.182644,200.806122,529.000000,12.255174,6.667326,6.611203,6.723448,56.715065,0.998208,963.966879,656.761889,964.466879,367.738111,3971.634969,63.080652,62.961223,133.000000,50.568427,0.000000,7.135936,5.977355,6.057649,5.897060,42.503312,0.904760
