B		R		V	
J.D.-2400000	rel_flux_T1	J.D.-2400000	rel_flux_T1	J.D.-2400000	rel_flux_T1
58732.6843	3.497996	58732.68459	1.96183	58732.68445	2.352058
58732.6843	3.497996	58732.68504	1.942857	58732.6849	2.360458
58732.68475	3.487289	58732.68549	1.947021	58732.68535	2.329957
58732.6852	3.450942	58732.68594	1.930594	58732.6858	2.344889
58732.68565	3.497567	58732.68639	1.942537	58732.68625	2.361048
58732.6861	3.461555	58732.68684	1.935141	58732.68669	2.333341
58732.68655	3.431248	58732.68729	1.93129	58732.68714	2.331904
58732.687	3.455091	58732.68774	1.92826	58732.68759	2.323782
58732.68745	3.438547	58732.68819	1.927357	58732.68804	2.333696
58732.6879	3.458417	58732.68864	1.918589	58732.68849	2.324855
58732.68835	3.424084	58732.68909	1.920861	58732.68894	2.326965
58732.68879	3.417486	58732.68959	1.918384	58732.68944	2.332668
58732.6893	3.413217	58732.69004	1.915108	58732.68989	2.315225
58732.68975	3.446355	58732.69049	1.912427	58732.69034	2.329149
58732.6902	3.443156	58732.69094	1.945292	58732.69079	2.339754
58732.69065	3.438268	58732.69138	1.922458	58732.69124	2.324302
58732.69109	3.452411	58732.69183	1.914443	58732.69168	2.316829
58732.69154	3.42633	58732.69227	1.890399	58732.69213	2.335779
58732.69198	3.440991	58732.69272	1.899297	58732.69257	2.323392
58732.69243	3.415724	58732.69316	1.916271	58732.69302	2.33221
58732.69287	3.432208	58732.69361	1.878252	58732.69346	2.328211
58732.69332	3.432282	58732.69405	1.88833	58732.69391	2.328312
58732.69376	3.402394	58732.6945	1.918293	58732.69435	2.313928
58732.69421	3.431869	58732.69494	1.91411	58732.6948	2.307583
58732.69465	3.43577	58732.69539	1.891386	58732.69524	2.325884
58732.6951	3.420693	58732.69583	1.905057	58732.69569	2.325398
58732.69554	3.422514	58732.69628	1.90809	58732.69613	2.320957
58732.69599	3.400406	58732.69672	1.927087	58732.69658	2.341166
58732.69643	3.423769	58732.69717	1.945247	58732.69702	2.325889
58732.69688	3.422993	58732.69761	1.920753	58732.69747	2.332804
58732.69732	3.442405	58732.69806	1.945472	58732.69791	2.305645
58732.69777	3.436763	58732.6985	1.936587	58732.69836	2.342062
58732.69822	3.454831	58732.69895	1.925994	58732.6988	2.34672
58732.69866	3.469659	58732.69939	1.94362	58732.69925	2.339634
58732.69911	3.436895	58732.69984	1.93355	58732.69969	2.35627
58732.69955	3.51336	58732.70028	1.94058	58732.70014	2.338853
58732.7	3.564597	58732.70073	1.950414	58732.70059	2.343895
58732.70044	3.50416	58732.70117	1.940949	58732.70103	2.338116
58732.70089	3.500657	58732.70162	1.948481	58732.70148	2.3421
58732.70133	3.462966	58732.70208	1.950677	58732.70194	2.333411
58732.70179	3.460077	58732.70253	1.935621	58732.70238	2.330606
58732.70224	3.478835	58732.70297	1.943037	58732.70283	2.328646
58732.70268	3.452699	58732.70342	1.906233	58732.70327	2.328706
58732.70313	3.432213	58732.70386	1.913203	58732.70372	2.329937
58732.70357	3.424707	58732.70431	1.932546	58732.70416	2.330178
58732.70402	3.400501	58732.70475	1.928342	58732.70461	2.337338
58732.70446	3.428946	58732.70522	1.853422	58732.70508	2.322167
58732.70491	3.420302	58732.70567	1.86041	58732.70553	2.30641
58732.70538	3.431428	58732.70612	1.913092	58732.70598	2.334492
58732.70583	3.408616	58732.70662	1.906564	58732.70648	2.326236
58732.70628	3.404913	58732.70707	1.918892	58732.70693	2.327502
58732.70678	3.407471	58732.70757	1.948292	58732.70743	2.33348
58732.70728	3.44561	58732.70802	1.93409	58732.70788	2.345736
58732.70773	3.457184	58732.70853	1.942515	58732.70833	2.3328
58732.70818	3.443176	58732.70898	1.938018	58732.70883	2.329387
58732.70869	3.460407	58732.70943	1.945211	58732.70928	2.369217
58732.70914	3.457211	58732.70988	1.940762	58732.70973	2.325503
58732.70958	3.472513	58732.71034	1.942823	58732.7102	2.331191
58732.71003	3.453007	58732.71079	1.945132	58732.71065	2.318944
58732.7105	3.437187	58732.71124	1.927704	58732.7111	2.349988
58732.71095	3.53838	58732.71169	1.932832	58732.71154	2.330802
58732.7114	3.47969	58732.71214	1.954443	58732.71199	2.346313
58732.71185	3.459334	58732.71259	1.940051	58732.71244	2.355868
58732.7123	3.507445	58732.71304	1.944913	58732.71289	2.333693
58732.71275	3.475632	58732.71349	1.954449	58732.71334	2.339703
58732.7132	3.483148	58732.71394	1.939973	58732.71379	2.318716
58732.71364	3.462617	58732.71438	1.920263	58732.71424	2.317608
58732.71409	3.418724	58732.71483	1.895311	58732.71469	2.34222
58732.71454	3.424865	58732.71528	1.931684	58732.71514	2.333102
58732.71499	3.494964	58732.71573	1.941688	58732.71559	2.347347
58732.71544	3.450866	58732.71618	1.934636	58732.71604	2.337355
58732.71589	3.477171	58732.71665	1.948783	58732.7165	2.333328
58732.71636	3.477683	58732.7171	1.867005	58732.71695	2.347623
58732.71681	3.430409	58732.71755	1.944195	58732.7174	2.327454
58732.71726	3.445331	58732.71801	1.953096	58732.71787	2.33864
58732.71772	3.482488	58732.71846	1.95682	58732.71831	2.328118
58732.71817	3.476681	58732.71891	1.930822	58732.71876	2.34502
58732.71862	3.457541	58732.71936	1.953645	58732.71921	2.327939
58732.71907	3.466766	58732.71981	1.954713	58732.71966	2.365374
58732.71952	3.450451	58732.72026	1.952344	58732.72011	2.343007
58732.71997	3.507528	58732.72071	1.936595	58732.72056	2.34409
58732.72042	3.509275	58732.72116	1.957224	58732.72101	2.376705
58732.72087	3.524015	58732.72161	1.961184	58732.72146	2.346757
58732.72132	3.561208	58732.72206	1.942319	58732.72191	2.350969
58732.72177	3.592467	58732.72256	1.961706	58732.72241	2.354243
58732.72221	3.569339	58732.72301	1.958351	58732.72286	2.372294
58732.72272	3.478294	58732.72351	2.003196	58732.72336	2.396036
58732.72322	3.521731	58732.72396	1.962445	58732.72381	2.358799
58732.72367	3.56787	58732.72441	1.944964	58732.72426	2.360422
58732.72412	3.542576	58732.72486	1.951117	58732.72471	2.369236
58732.72457	3.479198	58732.72536	1.951882	58732.72516	2.371223
58732.72502	3.513391	58732.72581	1.950188	58732.72566	2.354036
58732.72552	3.532516	58732.72626	1.96389	58732.72611	2.377176
58732.72597	3.624014	58732.72672	1.965952	58732.72658	2.37599
58732.72642	3.732059	58732.72717	1.947436	58732.72703	2.398844
58732.72688	3.60952	58732.72767	1.965058	58732.72753	2.377644
58732.72733	3.626009	58732.72817	1.977842	58732.72803	2.39396
58732.72788	3.559625	58732.72862	2.013637	58732.72848	2.394669
58732.72833	3.652699	58732.72912	1.993324	58732.72893	2.373604
58732.72878	3.614216	58732.72957	1.978057	58732.72943	2.397672
58732.72928	3.656485				
