 ,Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,HJD_UTC,BJD_TDB,AIRMASS,ALT_OBJ,CCD-TEMP,EXPTIME,RAOBJ2K,DECOBJ2K,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_err_T1,rel_flux_err_C2,rel_flux_SNR_T1,rel_flux_SNR_C2,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2
1,HD106306_Bessell V_0044_out.fits,1.000000,0.000000,58589.489716,2458589.489716,2458589.489669,2458589.484485,2458589.485253,-1.000000,-70.101126,NaN,8.000000,0.000000,0.000000,4.965985,5.000000,11.000000,17.000000,55.908477,0.000000,0.584695,0.000000,95.619969,0.000000,9314.156541,96.549119,451.106530,406.929093,451.606530,617.570907,520740.310581,78.539816,721.629698,721.617073,18671.000000,6630.271560,0.000000,507.000000,5.213923,5.419465,5.273527,5.565404,287.337908,0.995717,322.784454,314.736079,323.284454,709.763921,9314.156541,96.549119,96.470653,416.000000,118.591524,0.000000,4.718047,4.924515,4.655070,5.193960,288.757597,0.981080
2,HD106306_Bessell V_0047_out.fits,2.000000,0.000000,58589.490188,2458589.490188,2458589.490142,2458589.484958,2458589.485726,-1.000000,-69.930459,NaN,8.000000,0.000000,0.000000,7.655968,5.000000,11.000000,17.000000,56.970080,0.000000,0.600870,0.000000,94.812646,0.000000,9154.681831,95.719736,451.109089,406.009855,451.609089,618.490145,521542.954083,78.539816,722.185415,722.173203,17902.000000,6640.491134,0.000000,502.000000,5.381325,5.488275,5.202799,5.773751,287.522410,0.983941,322.878093,313.787784,323.378093,710.712216,9154.681831,95.719736,95.640484,409.000000,116.561029,0.000000,4.964626,5.032860,4.623533,5.442187,283.705195,0.966865
3,HD106306_Bessell V_0050_out.fits,3.000000,0.000000,58589.490661,2458589.490661,2458589.490615,2458589.485431,2458589.486199,-1.000000,-69.759833,NaN,8.000000,0.000000,0.000000,8.922438,5.000000,11.000000,17.000000,55.890097,0.000000,0.583928,0.000000,95.713999,0.000000,9332.517282,96.644127,451.066196,405.103557,451.566196,619.396443,521595.294062,78.539816,722.221497,722.209594,18291.000000,6641.157547,0.000000,510.000000,5.274906,5.527811,5.245779,5.809844,66.897692,0.978374,322.882133,312.738684,323.382133,711.761316,9332.517282,96.644127,96.565799,377.000000,118.825301,0.000000,4.914003,5.142503,4.744715,5.540290,67.602150,0.953035
4,HD106306_Bessell V_0053_out.fits,4.000000,0.000000,58589.491139,2458589.491139,2458589.491093,2458589.485908,2458589.486677,-1.000000,-69.587364,NaN,8.000000,0.000000,0.000000,9.454823,5.000000,11.000000,17.000000,54.891303,0.000000,0.571729,0.000000,96.009259,0.000000,9393.131479,96.957184,450.517006,405.207686,451.017006,619.292314,515601.225275,78.539816,718.060252,718.047300,18432.000000,6564.838693,0.000000,513.000000,5.146646,5.432519,5.246743,5.618295,290.292276,0.991909,322.231805,313.057898,322.731805,711.442102,9393.131479,96.957184,96.879170,418.000000,119.597064,0.000000,4.840562,5.050813,4.771353,5.330274,289.900245,0.979380
5,HD106306_Bessell V_0056_out.fits,5.000000,0.000000,58589.491610,2458589.491610,2458589.491564,2458589.486380,2458589.487148,-1.000000,-69.417239,NaN,8.000000,0.000000,0.000000,9.911040,5.000000,11.000000,17.000000,55.487385,0.000000,0.592363,0.000000,93.671292,0.000000,8939.875251,94.590936,449.914052,404.623113,450.414052,619.876887,496050.304348,78.539816,704.315099,704.301676,17300.000000,6315.908637,0.000000,510.000000,5.331312,5.531943,5.258265,5.805622,75.692741,0.987358,321.596408,312.567558,322.096408,711.932442,8939.875251,94.590936,94.510908,363.000000,113.826027,0.000000,5.035944,5.064407,4.641055,5.487759,76.977391,0.965851
6,HD106306_Bessell V_0059_out.fits,6.000000,0.000000,58589.492077,2458589.492077,2458589.492030,2458589.486846,2458589.487614,-1.000000,-69.248823,NaN,8.000000,0.000000,0.000000,9.536315,5.000000,11.000000,17.000000,55.967558,0.000000,0.594794,0.000000,94.095691,0.000000,9019.631656,95.011587,450.786880,404.516057,451.286880,619.983943,504806.759205,78.539816,710.504280,710.490807,21673.000000,6427.399283,0.000000,510.000000,4.688551,5.308963,5.105616,5.512310,287.108632,0.991443,322.648863,312.463048,323.148863,712.036952,9019.631656,95.011587,94.931913,472.000000,114.841517,0.000000,4.473039,4.761766,4.441379,5.082153,287.339875,0.973464
7,HD106306_Bessell V_0062_out.fits,7.000000,0.000000,58589.492551,2458589.492551,2458589.492504,2458589.487320,2458589.488088,-1.000000,-69.077738,NaN,8.000000,0.000000,0.000000,9.381683,5.000000,11.000000,17.000000,56.847797,0.000000,0.610397,0.000000,93.132529,0.000000,8833.672791,94.027841,451.893128,404.187873,452.393128,620.312127,502174.835306,78.539816,708.649465,708.636442,20443.000000,6393.888587,0.000000,514.000000,4.867028,5.431335,5.310379,5.552292,294.705336,0.995318,323.558450,312.052795,324.058450,712.447205,8833.672791,94.027841,93.947417,427.000000,112.473815,0.000000,4.360023,4.987704,4.809923,5.165486,289.074441,0.991803
8,HD106306_Bessell V_0065_out.fits,8.000000,0.000000,58589.493025,2458589.493025,2458589.492979,2458589.487795,2458589.488563,-1.000000,-68.906384,NaN,8.000000,0.000000,0.000000,9.510472,5.000000,11.000000,17.000000,56.943827,0.000000,0.612549,0.000000,92.962022,0.000000,8801.135760,93.854705,452.330620,403.685743,452.830620,620.814257,501170.348085,78.539816,707.940348,707.927369,19593.000000,6381.099058,0.000000,510.000000,4.929409,5.474942,5.154127,5.795758,81.250273,0.985003,323.946750,311.576755,324.446750,712.923245,8801.135760,93.854705,93.774049,392.000000,112.059541,0.000000,4.709853,5.074195,4.747964,5.400425,78.012046,0.980359
9,HD106306_Bessell V_0068_out.fits,9.000000,0.000000,58589.493500,2458589.493500,2458589.493454,2458589.488269,2458589.489038,-1.000000,-68.735094,NaN,8.000000,0.000000,0.000000,9.722568,5.000000,11.000000,17.000000,56.679950,0.000000,0.601781,0.000000,94.187062,0.000000,9035.147966,95.093186,452.677375,403.458037,453.177375,621.041963,512111.732129,78.539816,715.626089,715.613558,18889.000000,6520.409087,0.000000,512.000000,5.289405,5.403633,5.307485,5.499782,56.526725,0.991747,324.324803,311.216694,324.824803,713.283306,9035.147966,95.093186,95.013622,399.000000,115.039077,0.000000,4.645259,4.950104,4.817213,5.082995,59.773504,0.988163
10,HD106306_Bessell V_0071_out.fits,10.000000,0.000000,58589.493964,2458589.493964,2458589.493917,2458589.488733,2458589.489501,-1.000000,-68.567656,NaN,8.000000,0.000000,0.000000,9.762310,5.000000,11.000000,17.000000,56.557227,0.000000,0.603469,0.000000,93.720225,0.000000,8946.200823,94.624274,453.792053,403.015683,454.292053,621.484317,505972.315000,78.539816,711.323670,711.310949,19665.000000,6442.239600,0.000000,519.000000,5.032691,5.428342,5.239711,5.616972,289.824631,0.991872,325.581473,310.792826,326.081473,713.707174,8946.200823,94.624274,94.544459,410.000000,113.906567,0.000000,4.769360,4.969927,4.785494,5.154360,291.929380,0.989434
11,HD106306_Bessell V_0074_out.fits,11.000000,0.000000,58589.494435,2458589.494435,2458589.494389,2458589.489205,2458589.489973,-1.000000,-68.397480,NaN,8.000000,0.000000,0.000000,9.822512,5.000000,11.000000,17.000000,56.216892,0.000000,0.581676,0.000000,96.646369,0.000000,9514.101020,97.579019,454.394324,402.808596,454.894324,621.691404,534853.184966,78.539816,731.342713,731.330436,20289.000000,6809.962257,0.000000,513.000000,5.205913,5.356935,5.191213,5.522657,291.994190,0.992619,326.178237,310.678336,326.678237,713.821664,9514.101020,97.579019,97.501503,444.000000,121.137297,0.000000,4.676802,4.900792,4.848280,4.953305,309.849069,0.985643
12,HD106306_Bessell V_0077_out.fits,12.000000,0.000000,58589.494910,2458589.494910,2458589.494864,2458589.489680,2458589.490448,-1.000000,-68.225960,NaN,8.000000,0.000000,0.000000,9.721312,5.000000,11.000000,17.000000,56.142848,0.000000,0.576468,0.000000,97.391077,0.000000,9661.389127,98.330805,453.839587,402.389194,454.339587,622.110806,542417.901698,78.539816,736.495953,736.484565,22308.000000,6906.279222,0.000000,516.000000,4.950584,5.289211,5.018357,5.560064,290.252999,0.981951,325.621520,310.267663,326.121520,714.232337,9661.389127,98.330805,98.253941,459.000000,123.012627,0.000000,4.669528,4.884291,4.614643,5.153940,297.173139,0.964335
13,HD106306_Bessell V_0080_out.fits,13.000000,0.000000,58589.495386,2458589.495386,2458589.495339,2458589.490155,2458589.490923,-1.000000,-68.054373,NaN,8.000000,0.000000,0.000000,9.626552,5.000000,11.000000,17.000000,56.677870,0.000000,0.594913,0.000000,95.270810,0.000000,9244.099198,96.185567,455.162906,402.201646,455.662906,622.298354,523935.853184,78.539816,723.840142,723.828126,20302.000000,6670.958472,0.000000,513.000000,4.974428,5.415139,5.128087,5.702190,288.875094,0.982122,327.118559,309.915227,327.618559,714.584773,9244.099198,96.185567,96.106927,436.000000,117.699527,0.000000,4.557365,4.963827,4.679139,5.248515,288.928614,0.979032
