B		R		V	
Time	Observed	Time	Observed	Time	Observed
58441.63256	1518.840394	58441.63279	474.85834	58441.63267	698.150624
58441.63294	1577.13255	58441.63317	478.500971	58441.63305	655.785991
58441.63332	1476.480808	58441.63355	507.174988	58441.63344	743.95448
58441.6337	1541.050582	58441.63393	487.452688	58441.63382	717.645343
58441.63409	1544.169983	58441.63432	464.802915	58441.6342	708.14725
58441.63447	1540.345301	58441.6347	528.789062	58441.63458	773.230905
58441.63485	1585.245614	58441.63508	500.808295	58441.63497	713.396444
58441.63523	1597.31365	58441.63546	538.442989	58441.63535	720.740426
58441.63561	1406.234768	58441.63584	508.710222	58441.63573	709.81291
58441.63599	1598.35953	58441.63622	533.115995	58441.6361	746.465734
58441.63636	1510.340854	58441.6366	518.206735	58441.63648	762.017716
58441.63675	1472.968884	58441.63698	531.512497	58441.63686	773.840669
58441.63713	1596.443841	58441.63736	533.168542	58441.63724	777.132393
58441.63751	1572.847556	58441.63774	520.607503	58441.63763	721.606441
58441.63789	1542.132621	58441.63812	499.88417	58441.63801	779.570228
58441.63828	1426.741139	58441.63851	532.220857	58441.63839	780.600443
58441.63866	1509.882051	58441.63889	511.936962	58441.63877	812.196144
58441.63904	1465.221429	58441.63927	560.204395	58441.63916	883.76494
58441.63942	1518.995588	58441.63965	524.951195	58441.63954	915.395197
58441.6398	1553.612062	58441.64003	514.767178	58441.63992	754.245836
58441.64018	1537.199821	58441.64042	512.34622	58441.6403	698.974751
58441.64057	1590.295495	58441.6408	546.95617	58441.64068	776.685919
58441.64095	1430.120971	58441.64118	457.370207	58441.64106	671.742949
58441.64133	1336.45653	58441.64156	509.317968	58441.64144	639.498128
58441.64171	1732.585854	58441.64195	606.75806	58441.64183	815.310516
58441.64209	1487.799768	58441.64232	560.541369	58441.64221	790.176242
58441.64248	1404.248655	58441.64271	551.084875	58441.64259	821.138913
58441.64286	1791.517669	58441.64309	467.349581	58441.64298	841.482176
58441.64324	1346.424904	58441.64347	486.599721	58441.64336	687.088719
58441.64362	1434.568823	58441.64385	504.826045	58441.64374	728.981132
58441.644	1337.366705	58441.64423	492.907858	58441.64412	747.522039
58441.64439	1430.223886	58441.64462	514.452292	58441.6445	821.14443
58441.64477	1720.261916	58441.645	567.435611	58441.64488	831.868033
58441.64515	1591.409633	58441.64538	509.626347	58441.64527	781.336026
58441.64553	1555.448052	58441.64576	482.039123	58441.64565	721.580296
58441.64591	1700.74543	58441.64615	529.297141	58441.64603	769.301907
58441.6463	1510.549188	58441.64652	490.314178	58441.64641	713.253138
58441.64668	1365.971383	58441.64691	476.667612	58441.64679	811.960871
58441.64706	1688.688984	58441.64729	458.762535	58441.64718	741.090499
58441.64744	1450.217302	58441.64767	476.998276	58441.64755	727.570092
58441.64782	1520.959587	58441.64806	490.70982	58441.64794	695.397406
58441.6482	1444.929377	58441.64844	451.548798	58441.64832	669.743335
58441.64859	1414.722661	58441.64882	460.374152	58441.6487	787.431754
58441.64897	1341.642436	58441.6492	532.826168	58441.64908	825.195184
58441.64935	1306.011582	58441.64958	479.008658	58441.64947	725.720259
58441.64973	1348.099769	58441.64996	502.484551	58441.64985	720.555887
58441.65012	1553.059384	58441.65035	516.310255	58441.65023	785.026124
58441.6505	1618.38781	58441.65073	512.710183	58441.65061	747.466537
58441.65088	1369.380236	58441.65111	510.975556	58441.65099	670.978649
58441.65126	1302.59793	58441.65149	529.821108	58441.65138	680.127429
58441.65164	1429.254831	58441.65187	512.550297	58441.65176	660.885117
58441.65203	1513.401751	58441.65226	547.166236	58441.65214	711.046577
58441.65241	1500.559111	58441.65264	543.152376	58441.65252	746.271751
58441.65279	1618.418143	58441.65302	577.396445	58441.65291	871.783152
58441.65317	1910.481324	58441.65339	614.183753	58441.65327	887.231811
58441.65354	1611.660842	58441.65377	507.053183	58441.65366	852.860427
58441.65392	1434.613736	58441.65415	493.475209	58441.65404	647.292349
58441.65431	1504.175476	58441.65454	502.173347	58441.65442	638.627737
58441.65469	1362.326498	58441.65492	457.851336	58441.6548	713.542295
58441.65507	1487.688158	58441.6553	505.122225	58441.65518	765.436885
58441.65545	1549.575155	58441.65568	606.899808	58441.65557	845.159644
58441.65583	1496.936451	58441.65605	664.151956	58441.65594	770.8182
58441.6562	1722.041509	58441.65644	563.472146	58441.65632	677.857058
58441.65658	1600.704249	58441.65682	475.438819	58441.6567	837.702071
58441.65697	1364.36589	58441.6572	510.539813	58441.65708	666.54165
58441.65735	1534.992126	58441.65758	515.925618	58441.65746	698.636267
58441.65773	1304.224417	58441.65796	502.544449	58441.65785	788.258717
58441.65811	1481.16591	58441.65834	618.002812	58441.65823	871.607296
58441.6585	1644.929955	58441.65873	581.568785	58441.65861	874.417907
58441.65888	1565.576591	58441.65911	508.005757	58441.65899	788.759857
58441.65926	1640.851122	58441.65949	430.888415	58441.65937	808.925216
58441.65964	1351.261244	58441.65987	477.373251	58441.65976	760.760616
58441.66002	1431.745552	58441.66025	518.876618	58441.66014	728.809345
58441.6604	1656.794558	58441.66064	482.500189	58441.66052	839.47314
58441.66079	1472.849817	58441.66102	497.596178	58441.6609	836.226938
58441.66117	1481.318629	58441.6614	536.834928	58441.66129	967.043411
58441.66155	1498.049141	58441.66178	552.620325	58441.66167	820.945323
58441.66193	1449.661748	58441.66217	555.215627	58441.66205	717.232325
58441.66232	1356.947104	58441.66255	577.979265	58441.66243	844.654137
58441.6627	1251.766027	58441.66293	534.859338	58441.66281	705.041459
58441.66308	1290.329626	58441.66331	546.55109	58441.66319	733.358323
58441.66346	1215.078565	58441.66369	517.933274	58441.66357	803.623644
58441.66384	1419.99963	58441.66407	572.109262	58441.66396	823.357931
58441.66422	1421.082171	58441.66446	586.28648	58441.66434	849.306284
58441.66461	1419.522812	58441.66484	522.11216	58441.66472	892.825768
58441.66499	1377.064602	58441.66522	469.644188	58441.6651	708.230061
58441.66537	1534.392692	58441.6656	565.377651	58441.66549	725.744493
58441.66575	1274.489745	58441.66598	531.99257	58441.66587	726.603827
58441.66613	1282.208257	58441.66637	516.08144	58441.66625	720.862285
58441.66652	1322.364576	58441.66675	655.765019	58441.66663	869.759924
58441.6669	1477.113043	58441.66713	566.054586	58441.66701	891.897309
58441.66728	1479.627574	58441.66751	506.538187	58441.66739	716.433872
58441.66766	1320.51497	58441.66789	518.324602	58441.66778	760.971673
58441.66804	1210.995962	58441.66827	471.183256	58441.66816	725.712909
58441.66843	1248.112307	58441.66866	491.973586	58441.66854	676.264587
58441.66881	1329.882764	58441.66904	553.492112	58441.66893	702.981254
58441.66919	1413.019904	58441.66941	552.052407	58441.66929	939.829178
58441.66955	1466.95186	58441.66978	566.784245	58441.66967	770.352406
58441.66993	1430.030062	58441.67016	540.707921	58441.67004	835.718839
58441.67031	1225.771343	58441.67055	481.603463	58441.67043	724.336094
58441.67358	1219.735381	58441.67381	503.08925	58441.67369	773.24166
58441.67396	1216.37973	58441.67419	489.115623	58441.67407	648.680519
58441.67434	1124.315278	58441.67457	478.492012	58441.67445	713.447713
58441.67472	1160.708747	58441.67495	521.708684	58441.67484	674.891902
58441.6751	1235.607648	58441.67533	524.01367	58441.67522	700.322647
58441.67549	1164.974933	58441.67572	480.404531	58441.6756	677.301125
58441.67587	1151.623784	58441.6761	478.472521	58441.67598	628.765063
58441.67625	1141.0364	58441.67648	534.921758	58441.67637	689.596688
58441.67663	1146.783655	58441.67686	476.281918	58441.67675	701.91718
58441.67701	1184.233164	58441.67725	429.853837	58441.67713	740.294735
58441.6774	1026.208119	58441.67763	447.354846	58441.67751	566.399233
58441.67778	1077.897506	58441.67801	402.291825	58441.67789	684.312221
58441.67816	1068.569481	58441.67839	455.760393	58441.67827	658.070703
58441.67854	1057.834785	58441.67877	464.854159	58441.67866	602.392607
58441.67892	1080.979318	58441.67915	443.100145	58441.67904	657.084324
58441.6793	1064.785465	58441.67954	424.990644	58441.67942	593.89873
58441.67969	1059.755008	58441.67992	408.142811	58441.6798	621.763477
58441.68007	954.518757	58441.6803	457.817508	58441.68019	581.199661
58441.68045	1203.005843	58441.68068	519.92556	58441.68057	664.987077
58441.68083	1142.08707	58441.68106	505.040491	58441.68095	649.545485
58441.68122	1125.144633	58441.68145	424.651448	58441.68133	706.202753
58441.6816	964.493408	58441.68183	414.449753	58441.68171	666.751352
58441.68198	1081.324867	58441.68221	430.481241	58441.68209	603.14246
58441.68236	1003.180584	58441.68259	422.520829	58441.68248	564.48157
58441.68274	975.023151	58441.68297	416.157011	58441.68286	555.619784
58441.68312	1030.860918	58441.68336	459.047995	58441.68324	685.366956
58441.68351	1228.867083	58441.68374	484.662084	58441.68362	616.267666
58441.68389	1106.728307	58441.68412	486.687294	58441.68401	697.035496
58441.68427	1010.325676	58441.6845	404.459186	58441.68439	562.913918
58441.68465	1006.977145	58441.68489	419.820527	58441.68477	598.245003
58441.68503	1106.172939	58441.68527	388.55463	58441.68515	627.550467
58441.68542	1088.227382	58441.68565	397.141244	58441.68553	632.666965
58441.6858	1020.771061	58441.68603	478.989623	58441.68591	670.833515
58441.68618	1117.266377	58441.68641	526.091157	58441.6863	722.179332
58441.68656	1168.854243	58441.68679	511.065529	58441.68668	694.50795
58441.68695	1160.65686	58441.68718	451.544503	58441.68706	606.665039
58441.68733	1083.189349	58441.68756	410.190923	58441.68744	654.117889
58441.68771	1109.419011	58441.68794	426.940579	58441.68782	631.517138
58441.68809	978.371429	58441.68832	411.123472	58441.68821	588.888076
58441.68847	1082.303907	58441.68869	526.860136	58441.68859	679.623023
58441.68884	1082.862378	58441.68908	510.57799	58441.68896	722.159825
58441.68922	1291.130366	58441.68945	469.184155	58441.68934	711.337224
58441.68961	1185.313495	58441.68984	472.07941	58441.68972	636.042594
58441.68999	1064.696535	58441.69022	436.011393	58441.6901	576.598779
58441.69037	1105.566453	58441.6906	465.810444	58441.69049	649.847819
58441.69075	1005.816314	58441.69098	421.2	58441.69087	580.475176
58441.69114	957.023828	58441.69137	462.008182	58441.69125	620.385131
58441.69152	958.813675	58441.69174	429.458	58441.69163	631.151141
58441.6919	1012.281154	58441.69212	475.516288	58441.692	605.730468
58441.69227	1087.575354	58441.6925	450.838447	58441.69239	666.539334
58441.69265	965.216009	58441.69288	473.862182	58441.69277	553.226111
58441.69303	1055.120485	58441.69326	429.063159	58441.69315	643.411041
58441.69342	1018.025277	58441.69365	457.831508	58441.69353	601.435363
58441.6938	1056.14587	58441.69403	425.4896	58441.69391	638.995235
58441.69418	1159.278347	58441.69441	480.379162	58441.69429	677.702088
58441.69456	991.266062	58441.69479	432.743246	58441.69468	573.059297
58441.69494	1152.829876	58441.69517	432.989618	58441.69506	613.052487
58441.69532	1044.139135	58441.69554	416.426836	58441.69543	649.076111
58441.6957	917.27598	58441.69592	417.714816	58441.69581	588.036782
58441.69608	945.711082	58441.69631	436.942314	58441.69619	558.676505
58441.69646	912.053872	58441.69669	416.986329	58441.69658	582.957103
58441.69684	916.80988	58441.69707	487.797948	58441.69696	631.199016
58441.69722	1027.27158	58441.69745	505.124807	58441.69734	688.709004
58441.6976	1136.213401	58441.69783	452.56621	58441.69772	675.523221
58441.69799	1058.758602	58441.69822	434.433337	58441.6981	601.226222
58441.69837	896.931316	58441.6986	453.842788	58441.69848	606.776752
58441.69875	1004.491282	58441.69898	460.419219	58441.69887	600.788784
58441.69913	1003.14761	58441.69936	446.351451	58441.69925	544.486382
58441.69951	962.554688	58441.69975	430.587598	58441.69963	621.305798
58441.6999	1039.124967	58441.70013	454.57869	58441.70001	626.869962
58441.70027	1069.010419	58441.7005	461.514008	58441.70038	686.901824
58441.70065	1075.64438	58441.70088	454.982137	58441.70077	644.821931
58441.70103	1021.603476	58441.70126	410.199813	58441.70115	575.93888
58441.70141	883.9046	58441.70164	489.462044	58441.70153	574.522864
58441.70179	1017.312022	58441.70202	413.389576	58441.70191	598.061353
58441.70217	963.329216	58441.70241	414.909072	58441.70229	637.314852
58441.70256	956.713861	58441.70279	502.225446	58441.70267	588.188598
58441.70294	1029.481186	58441.70317	493.149096	58441.70306	641.601239
58441.70332	989.543116	58441.70355	447.033814	58441.70344	627.553274
58441.7037	1023.966639	58441.70394	410.592285	58441.70382	585.28866
58441.70409	901.398439	58441.70432	404.227385	58441.7042	515.683869
58441.70447	917.638384	58441.7047	436.144955	58441.70458	546.053412
58441.70485	913.437642	58441.70508	404.550513	58441.70497	590.076338
58441.70523	985.286275	58441.70545	464.216365	58441.70534	663.864438
58441.7056	1031.03288	58441.70583	477.195629	58441.70572	587.110667
58441.70598	922.80379	58441.70622	396.907933	58441.7061	554.748962
58441.70636	894.424008	58441.7066	434.380766	58441.70648	584.869027
58441.70675	903.069983	58441.70698	390.196158	58441.70686	518.022415
58441.70713	976.902446	58441.70736	415.608373	58441.70725	528.841954
58441.70751	979.693731	58441.70774	402.785636	58441.70763	600.575057
58441.70789	966.104687	58441.70811	407.525301	58441.708	557.506444
58441.70827	1022.311455	58441.70849	450.665311	58441.70838	606.566677
58441.70864	964.423817	58441.70888	430.985381	58441.70876	574.795811
58441.70903	1007.155083	58441.70926	394.259513	58441.70915	592.80788
58441.70941	822.433808	58441.70964	389.228004	58441.70953	538.368373
58441.70979	852.445374	58441.71002	368.230121	58441.70991	519.829625
58441.71017	898.955053	58441.7104	372.55044	58441.71029	535.486268
58441.71055	937.690522	58441.71079	403.757582	58441.71067	566.28062
58441.71094	841.955177	58441.71117	434.036608	58441.71105	564.637942
58441.71132	982.496741	58441.71155	447.984861	58441.71144	577.385583
58441.71431	825.747195	58441.71454	378.318195	58441.71442	485.13586
58441.71469	775.552172	58441.71492	373.664985	58441.7148	506.110222
58441.71507	811.917282	58441.7153	368.920662	58441.71518	491.552121
58441.71545	724.519068	58441.71567	369.721968	58441.71555	473.797552
58441.71582	736.342945	58441.71605	390.786224	58441.71594	466.73337
58441.7162	754.593546	58441.71643	348.611817	58441.71632	477.13105
58441.71658	711.612281	58441.71682	363.692613	58441.7167	525.352767
58441.71696	669.761958	58441.71719	348.884282	58441.71707	483.826623
58441.71734	759.525121	58441.71757	367.091456	58441.71746	489.56299
58441.71772	721.133231	58441.71795	339.796413	58441.71783	469.949526
58441.7181	736.161695	58441.71833	360.208239	58441.71822	496.583917
58441.71848	730.363824	58441.71872	353.542234	58441.7186	470.28631
58441.71887	749.347985	58441.7191	369.024417	58441.71898	475.351348
58441.71925	739.101065	58441.71948	357.414869	58441.71936	489.515952
58441.71963	696.604537	58441.71986	391.952146	58441.71974	471.307918
58441.72001	720.342375	58441.72024	348.007933	58441.72013	463.441232
58441.72039	746.372692	58441.72063	385.215494	58441.72051	443.963334
58441.72077	731.46607	58441.72101	347.537762	58441.72089	482.015728
58441.72116	679.909248	58441.72139	381.45833	58441.72127	456.065977
58441.72154	637.538036	58441.72177	369.975269	58441.72166	488.759486
58441.72192	708.996933	58441.72215	384.083127	58441.72204	515.30083
58441.7223	746.985331	58441.72254	429.417859	58441.72242	515.406278
58441.72268	850.364904	58441.72292	388.982119	58441.7228	501.134628
58441.72307	716.99258	58441.7233	376.025526	58441.72318	468.591208
58441.72345	744.183673	58441.72368	368.792283	58441.72356	479.408438
58441.72383	811.144835	58441.72406	351.290259	58441.72395	525.178571
58441.72421	735.539601	58441.72444	370.921994	58441.72433	502.406385
58441.7246	812.555738	58441.72483	416.661917	58441.72471	501.856749
58441.72498	755.935388	58441.72521	427.031196	58441.72509	538.447497
58441.72536	764.58795	58441.72559	420.87867	58441.72547	494.02812
58441.72574	756.170589	58441.72597	361.249599	58441.72586	546.09223
58441.72612	671.911834	58441.72636	375.720825	58441.72624	442.911117
58441.7265	712.517714	58441.72674	377.95904	58441.72662	498.089014
58441.72688	783.705384	58441.72711	377.023226	58441.72699	528.692078
58441.72726	652.341614	58441.72749	387.065019	58441.72737	493.737877
58441.72764	813.534833	58441.72786	419.499954	58441.72774	576.050902
58441.72801	801.044293	58441.72824	411.313859	58441.72812	501.047841
