B		R		V	
58441.72839	803.773493	58441.72862	340.634137	58441.72851	436.715386
58441.72877	786.664601	58441.72899	337.661931	58441.72889	481.445532
58441.72914	685.218355	58441.72937	355.225535	58441.72926	508.785761
58441.72952	703.922419	58441.72975	392.839727	58441.72964	465.001159
58441.72991	702.965341	58441.73014	403.53489	58441.73002	457.847706
58441.73029	770.554054	58441.73052	409.175526	58441.7304	540.351773
58441.73067	706.429014	58441.7309	407.40018	58441.73079	466.325446
58441.73105	700.610089	58441.73128	360.07608	58441.73117	539.547106
58441.73144	700.188718	58441.73167	323.086911	58441.73155	457.768058
58441.73182	742.308467	58441.73205	360.616767	58441.73193	486.894325
58441.7322	705.230955	58441.73243	334.017592	58441.73232	458.337121
58441.73258	705.086127	58441.73281	371.208307	58441.7327	437.536717
58441.73296	657.12323	58441.73319	383.127283	58441.73308	469.418467
58441.73334	758.220455	58441.73358	375.037542	58441.73346	472.059751
58441.73372	652.525784	58441.73394	353.283511	58441.73383	458.926965
58441.7341	651.484574	58441.73433	344.462158	58441.73421	459.277978
58441.73448	723.594493	58441.73471	339.130095	58441.7346	478.453699
58441.73486	626.2178	58441.73509	345.734887	58441.73498	512.855044
58441.73524	629.061481	58441.73547	368.46492	58441.73536	428.651616
58441.73563	697.789166	58441.73586	332.151684	58441.73574	444.316929
58441.73601	711.097243	58441.73624	344.995895	58441.73612	418.112463
58441.73639	560.851705	58441.73662	328.596503	58441.7365	444.089834
58441.73677	706.966673	58441.737	327.138312	58441.73689	405.886588
58441.73715	658.80467	58441.73738	281.066699	58441.73727	447.842298
58441.73753	698.400113	58441.73777	346.567584	58441.73765	445.733754
58441.73792	661.243025	58441.73815	328.124637	58441.73803	479.128955
58441.7383	656.874008	58441.73853	390.949715	58441.73842	446.801789
58441.73868	681.529401	58441.73891	356.903424	58441.7388	496.519921
58441.73906	683.22468	58441.73928	336.70905	58441.73917	421.822
58441.73943	645.576458	58441.73966	357.00971	58441.73955	449.835954
58441.73982	610.078348	58441.74005	338.70688	58441.73993	383.058389
58441.7402	671.880673	58441.74043	363.268713	58441.74031	395.399927
58441.74058	695.959993	58441.74081	340.709286	58441.74069	474.471792
58441.74096	696.343916	58441.74119	377.707157	58441.74108	459.998121
58441.74134	699.033008	58441.74157	368.745616	58441.74146	496.982616
58441.74173	714.508996	58441.74195	334.24905	58441.74184	471.883008
58441.7421	602.271668	58441.74234	338.856782	58441.74222	413.088801
58441.74249	687.702128	58441.74272	325.906762	58441.74261	474.661257
58441.74287	590.629782	58441.7431	327.096783	58441.74299	472.368889
58441.74325	652.072421	58441.74349	361.345865	58441.74337	428.694053
58441.74363	714.840565	58441.74387	341.641945	58441.74375	456.209452
58441.74402	640.612832	58441.74425	316.78168	58441.74413	478.671071
58441.7444	656.608118	58441.74462	319.810268	58441.7445	411.162805
58441.74477	645.244314	58441.745	348.367073	58441.74488	491.049466
58441.74515	673.09086	58441.74538	352.857814	58441.74527	419.586444
58441.74553	809.378209	58441.74575	319.571316	58441.74565	438.671719
58441.7459	693.684532	58441.74613	351.251052	58441.74602	498.932705
58441.74628	636.142649	58441.74652	326.849517	58441.7464	459.1218
58441.74667	678.778418	58441.7469	351.7374	58441.74678	443.557661
58441.74705	641.959699	58441.74728	341.061024	58441.74716	484.448175
58441.74743	680.361264	58441.74766	337.655375	58441.74755	457.937235
58441.74781	692.515879	58441.74804	345.477055	58441.74793	404.906161
58441.7482	609.532627	58441.74843	338.28833	58441.74831	483.845645
58441.74858	652.317247	58441.74881	333.914868	58441.74869	451.82278
58441.74896	643.025106	58441.74919	353.322677	58441.74907	451.902078
58441.74934	669.327403	58441.74957	331.8649	58441.74945	468.61018
58441.74972	621.319573	58441.74994	334.088306	58441.74984	451.506464
58441.75009	646.933607	58441.75032	315.924503	58441.75021	409.388527
58441.75047	604.879071	58441.7507	274.63416	58441.75059	480.396661
58441.75085	608.340106	58441.75108	317.868052	58441.75096	390.388069
58441.75122	662.131839	58441.75146	337.167661	58441.75134	406.156704
58441.75161	694.333393	58441.75184	321.576436	58441.75172	431.134473
58441.75199	587.304032	58441.75222	292.258427	58441.7521	444.731777
58441.75384	607.478529	58441.75406	315.822233	58441.75395	422.176097
58441.75421	617.58609	58441.75445	330.849477	58441.75433	429.517132
58441.75459	640.381034	58441.75483	345.742248	58441.75471	427.870721
58441.75498	706.403122	58441.75521	348.282454	58441.75509	460.982235
58441.75536	621.523882	58441.75559	337.840915	58441.75547	461.247714
58441.75574	625.306932	58441.75597	319.180776	58441.75586	384.419896
58441.75612	550.268494	58441.75634	307.877147	58441.75623	401.989536
58441.75649	569.699115	58441.75672	321.112551	58441.75661	405.595383
58441.75688	596.18013	58441.7571	345.312044	58441.75699	413.53193
58441.75726	639.765345	58441.75749	337.534804	58441.75737	432.723477
58441.75764	641.392894	58441.75787	333.194542	58441.75776	373.441492
58441.75801	632.489653	58441.75823	336.254517	58441.75811	469.780358
58441.75838	559.472762	58441.75861	327.396766	58441.7585	374.200243
58441.75876	624.648671	58441.75899	353.604212	58441.75888	437.49444
58441.75914	625.353529	58441.75938	320.877252	58441.75926	436.04217
58441.75952	569.057516	58441.75974	302.334959	58441.75963	413.678482
58441.75989	597.988376	58441.76013	300.208164	58441.76001	387.289154
58441.76028	579.724623	58441.76051	324.176219	58441.76039	381.505076
58441.76066	540.423403	58441.76089	334.142051	58441.76077	379.528802
58441.76104	587.883102	58441.76127	342.836464	58441.76116	400.592024
58441.76142	567.823444	58441.76165	335.815635	58441.76154	396.633282
58441.76181	603.091925	58441.76204	267.120393	58441.76192	363.955159
58441.76219	541.186737	58441.76242	301.86515	58441.7623	399.340891
58441.76257	575.142259	58441.7628	292.816151	58441.76269	382.058554
58441.76295	549.270021	58441.76318	291.260413	58441.76307	384.587787
58441.76333	529.369108	58441.76357	330.639543	58441.76345	405.055233
58441.76371	587.457157	58441.76393	357.452801	58441.76382	429.211596
58441.76408	607.071629	58441.76432	351.232724	58441.7642	419.014086
58441.76447	629.443561	58441.7647	337.827184	58441.76458	393.700056
58441.76485	606.783861	58441.76508	289.549264	58441.76496	369.041311
58441.76523	575.553233	58441.76546	316.451734	58441.76535	416.468786
58441.76561	593.115885	58441.76585	317.03379	58441.76573	404.857715
58441.766	568.229107	58441.76623	355.298246	58441.76611	460.369397
58441.76638	587.739405	58441.76661	351.624345	58441.76649	396.345714
58441.76676	679.635461	58441.76699	351.170842	58441.76688	439.415286
58441.76714	581.362277	58441.76737	315.487553	58441.76726	398.976908
58441.76752	573.528376	58441.76776	286.559321	58441.76764	387.64599
58441.7679	509.647719	58441.76814	341.083292	58441.76802	373.444082
58441.76828	515.778823	58441.76851	327.663163	58441.76839	443.024924
58441.76866	598.165489	58441.76889	323.203064	58441.76877	403.733419
58441.76904	623.254677	58441.76927	345.649421	58441.76916	391.249201
58441.76942	632.79071	58441.76965	322.329976	58441.76954	428.064076
58441.7698	657.385081	58441.77003	308.628709	58441.76992	424.305399
58441.77019	576.341612	58441.77042	352.315546	58441.7703	405.993653
58441.77057	590.654655	58441.7708	352.830411	58441.77068	370.119937
58441.77095	572.800766	58441.77118	353.972455	58441.77107	392.04011
58441.77133	552.644231	58441.77156	297.833082	58441.77145	420.727921
58441.77171	551.359684	58441.77195	325.560297	58441.77183	366.035439
58441.77209	554.971631	58441.77233	299.737618	58441.77221	395.642105
58441.77248	560.848813	58441.77271	310.412278	58441.77259	365.086889
58441.77286	545.001257	58441.77309	278.845266	58441.77297	407.13807
58441.77324	601.969178	58441.77347	291.393796	58441.77336	365.616678
58441.77362	580.637651	58441.77385	313.455234	58441.77374	401.202669
58441.77401	621.08655	58441.77424	283.13431	58441.77412	383.309213
58441.77439	524.434356	58441.77462	329.390582	58441.7745	385.046705
58441.77477	607.3676	58441.775	335.132029	58441.77488	422.311685
58441.77515	589.47241	58441.77538	320.402096	58441.77527	373.787408
58441.77553	588.708973	58441.77576	302.414196	58441.77565	449.042872
58441.77591	637.742435	58441.77615	287.219107	58441.77603	375.343117
58441.7763	536.19386	58441.77653	289.147038	58441.77641	379.151623
58441.77668	502.283549	58441.77691	308.73939	58441.77679	361.22891
58441.77706	580.93391	58441.77729	298.952426	58441.77717	375.549351
58441.77744	576.012664	58441.77768	321.164294	58441.77756	408.429153
58441.77782	537.305531	58441.77805	306.003442	58441.77794	452.177772
58441.77821	558.044672	58441.77844	327.627973	58441.77832	442.368089
58441.77859	549.13	58441.77882	276.114108	58441.77871	392.900613
58441.77897	488.268293	58441.7792	289.981092	58441.77909	371.321778
58441.77935	484.755229	58441.77959	281.510757	58441.77947	333.95447
58441.77973	526.64169	58441.77996	307.506967	58441.77985	346.051523
58441.78012	542.612913	58441.78035	311.211131	58441.78023	416.398249
58441.7805	502.963921	58441.78073	325.450725	58441.78061	411.618999
58441.78088	581.810206	58441.78111	290.655417	58441.781	392.111377
58441.78126	527.656217	58441.78149	265.459728	58441.78138	356.863969
58441.78165	512.550765	58441.78188	295.925047	58441.78176	340.769631
58441.78202	542.335574	58441.78224	274.801325	58441.78213	353.734049
58441.78239	538.267046	58441.78261	302.284148	58441.7825	386.083173
58441.78277	533.765798	58441.783	325.913902	58441.78288	402.042066
58441.78315	545.419375	58441.78337	310.819112	58441.78325	381.809015
58441.78352	553.459937	58441.78375	316.078928	58441.78363	406.396896
58441.7839	508.29641	58441.78413	287.247649	58441.78402	360.687984
58441.78428	500.510441	58441.78452	299.34856	58441.7844	343.664366
58441.78467	540.246929	58441.78489	267.016415	58441.78478	377.192788
58441.78504	532.618588	58441.78527	304.82262	58441.78515	373.064956
58441.78542	498.970845	58441.78565	292.225995	58441.78553	376.129514
58441.7858	545.091601	58441.78603	275.327909	58441.78591	390.109622
58441.78618	530.875018	58441.78641	311.479183	58441.7863	351.548633
58441.78656	480.545954	58441.78679	283.979596	58441.78668	331.942469
58441.78694	479.26927	58441.78717	280.295421	58441.78706	364.453316
58441.78733	496.605997	58441.78756	278.722157	58441.78744	349.25022
58441.78771	478.490061	58441.78794	266.419983	58441.78783	314.673591
58441.78809	471.473196	58441.78832	263.202355	58441.78821	350.03741
58441.78848	488.21548	58441.78871	256.943692	58441.78859	310.905807
58441.78886	435.463187	58441.78908	273.129197	58441.78897	324.995454
58441.78924	452.34851	58441.78947	267.884214	58441.78935	309.25639
58441.78962	462.90031	58441.78985	241.496369	58441.78973	311.539557
58441.78999	382.908985	58441.79022	251.743147	58441.7901	283.150248
58441.79037	436.37495	58441.7906	252.93944	58441.79049	292.941688
58441.79075	504.178019	58441.79098	246.083787	58441.79087	293.976476
58441.79113	454.10092	58441.79136	252.07434	58441.79125	302.530052
58441.79152	446.155887	58441.79175	270.390997	58441.79163	323.0845
58441.79474	396.972267	58441.79497	249.98784	58441.79485	327.049174
58441.79511	409.482846	58441.79535	222.18338	58441.79523	284.503164
58441.7955	389.346329	58441.79572	253.362183	58441.7956	290.317561
58441.79587	401.256878	58441.7961	235.783123	58441.79598	271.595297
58441.79625	404.505619	58441.79648	249.623318	58441.79636	308.641891
58441.79663	423.60816	58441.79686	273.277878	58441.79675	287.646094
58441.79702	431.626808	58441.79724	254.417838	58441.79713	332.459876
58441.79739	403.834818	58441.79761	250.907606	58441.7975	281.544473
58441.79777	416.242269	58441.798	227.613189	58441.79788	307.640788
58441.79815	399.816607	58441.79838	248.128573	58441.79826	311.644361
58441.79853	460.935894	58441.79876	270.493823	58441.79865	320.456068
58441.79891	394.421517	58441.79914	228.294656	58441.79903	277.804575
58441.7993	375.109622	58441.79953	262.970993	58441.79941	273.725354
58441.79968	428.405523	58441.79991	219.944949	58441.79979	281.399835
58441.80006	400.560056	58441.80029	236.559795	58441.80017	286.046122
58441.80044	394.720411	58441.80067	257.283962	58441.80055	273.115219
58441.80082	396.765214	58441.80105	244.815212	58441.80094	290.367089
58441.8012	370.192651	58441.80143	243.578016	58441.80132	300.97637
