 ,Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,HJD_UTC,BJD_TDB,AIRMASS,ALT_OBJ,CCD-TEMP,EXPTIME,RAOBJ2K,DECOBJ2K,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_err_T1,rel_flux_err_C2,rel_flux_SNR_T1,rel_flux_SNR_C2,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2
69,HD147302_Bessell B_1147_out.fits,69.000000,0.000000,58589.781058,2458589.781058,2458589.780989,2458589.775840,2458589.776608,1.735142,35.091963,NaN,12.000000,0.000000,0.000000,12.266195,5.000000,11.000000,17.000000,48.442351,0.000000,0.363465,0.000000,133.279225,0.000000,18137.881735,134.705701,461.312398,424.007219,461.812398,600.492781,878641.636476,78.539816,937.685044,937.032794,24477.000000,11187.212772,6.292958,435.000000,6.488753,5.833266,5.765012,5.901519,53.191658,0.993119,682.204318,646.820980,682.704318,377.679020,18137.881735,134.705701,134.648212,566.000000,230.938683,0.000000,6.105205,5.591067,5.476279,5.705856,57.380477,0.990397
70,HD147302_Bessell B_1150_out.fits,70.000000,0.000000,58589.781613,2458589.781613,2458589.781544,2458589.776394,2458589.777163,1.726628,35.292103,NaN,12.000000,0.000000,0.000000,12.690240,5.000000,11.000000,17.000000,48.061238,0.000000,0.358715,0.000000,133.981544,0.000000,18332.395799,135.425646,461.185035,424.273312,461.685035,600.226688,881077.636430,78.539816,939.019729,938.295128,23874.000000,11218.228887,7.049180,448.000000,6.671724,5.851028,5.881577,5.820479,40.587167,0.995368,682.049652,647.145261,682.549652,377.354739,18332.395799,135.425646,135.368716,547.000000,233.415313,0.000000,6.442561,5.704992,5.640518,5.769466,53.052246,0.993362
71,HD147302_Bessell B_1153_out.fits,71.000000,0.000000,58589.782170,2458589.782170,2458589.782101,2458589.776952,2458589.777720,1.718182,35.493113,NaN,12.000000,0.000000,0.000000,11.894736,5.000000,11.000000,17.000000,47.639928,0.000000,0.350086,0.000000,136.080759,0.000000,18914.478636,137.557927,461.074499,424.345491,461.574499,600.154509,901084.409736,78.539816,949.566655,948.942768,28148.000000,11472.963036,6.092958,450.000000,5.732556,5.629609,6.003637,5.255581,16.642384,0.974955,682.157256,647.250382,682.657256,377.249618,18914.478636,137.557927,137.501917,690.000000,240.826622,0.000000,5.366676,5.418281,5.748862,5.087701,22.536295,0.970366
72,HD147302_Bessell B_1156_out.fits,72.000000,0.000000,58589.782714,2458589.782714,2458589.782644,2458589.777495,2458589.778264,1.710043,35.689173,NaN,12.000000,0.000000,0.000000,12.236202,5.000000,11.000000,17.000000,48.062442,0.000000,0.359255,0.000000,133.783508,0.000000,18278.388561,135.226082,463.038133,424.304786,463.538133,600.195214,878503.995857,78.539816,937.821696,936.749490,23713.000000,11185.460277,10.626866,450.000000,6.461360,5.773088,5.786518,5.759657,35.913811,0.999777,684.052185,647.212322,684.552185,377.287678,18278.388561,135.226082,135.169106,566.000000,232.727671,0.000000,6.116308,5.498080,5.360850,5.635310,273.166857,0.997481
73,HD147302_Bessell B_1159_out.fits,73.000000,0.000000,58589.783270,2458589.783270,2458589.783201,2458589.778052,2458589.778820,1.701815,35.889764,NaN,12.000000,0.000000,0.000000,12.090034,5.000000,11.000000,17.000000,48.083904,0.000000,0.359432,0.000000,133.777499,0.000000,18276.516440,135.219104,463.363346,424.436451,463.863346,600.063549,878806.257917,78.539816,937.920248,936.973330,26066.000000,11189.308797,9.300261,456.000000,6.117326,5.724703,5.908706,5.540700,15.161402,0.994465,684.378322,647.403086,684.878322,377.096914,18276.516440,135.219104,135.162236,627.000000,232.703835,0.000000,5.826540,5.501622,5.603851,5.399394,26.304328,0.996257
74,HD147302_Bessell B_1162_out.fits,74.000000,0.000000,58589.783825,2458589.783825,2458589.783756,2458589.778607,2458589.779375,1.693700,36.090019,NaN,12.000000,0.000000,0.000000,12.520269,5.000000,11.000000,17.000000,48.662123,0.000000,0.369366,0.000000,131.745176,0.000000,17721.374388,133.150559,462.117611,423.952185,462.617611,600.547815,862359.706706,78.539816,929.107887,928.158848,22482.000000,10979.904804,9.308458,453.000000,6.595663,5.901177,5.905051,5.897303,331.486009,0.999994,683.065007,646.803067,683.565007,377.696933,17721.374388,133.150559,133.092752,506.000000,225.635547,0.000000,6.354841,5.799320,5.779954,5.818685,308.163445,0.999202
75,HD147302_Bessell B_1165_out.fits,75.000000,0.000000,58589.784381,2458589.784381,2458589.784312,2458589.779163,2458589.779931,1.685674,36.290484,NaN,12.000000,0.000000,0.000000,12.246103,5.000000,11.000000,17.000000,48.575804,0.000000,0.364086,0.000000,133.418527,0.000000,18174.885649,134.842672,461.497871,423.933010,461.997871,600.566990,882859.690811,78.539816,940.159413,939.053185,25484.000000,11240.918708,11.187082,468.000000,6.161961,5.752240,5.643202,5.861279,77.606828,0.998257,682.387542,646.810520,682.887542,377.689480,18174.885649,134.842672,134.785861,583.000000,231.409831,0.000000,5.809976,5.523793,5.496794,5.550793,53.055502,0.998759
76,HD147302_Bessell B_1168_out.fits,76.000000,0.000000,58589.784934,2458589.784934,2458589.784865,2458589.779716,2458589.780484,1.677775,36.490140,NaN,12.000000,0.000000,0.000000,12.281596,5.000000,11.000000,17.000000,47.961055,0.000000,0.356798,0.000000,134.420660,0.000000,18453.649459,135.872538,460.717321,424.320947,461.217321,600.179053,885056.487615,78.539816,941.345566,940.203598,24903.000000,11268.889194,11.510345,453.000000,6.355860,5.783471,5.616783,5.950158,73.242213,0.995228,681.673005,647.130814,682.173005,377.369186,18453.649459,135.872538,135.815889,600.000000,234.959162,0.000000,5.961229,5.506480,5.299497,5.713464,84.062732,0.994115
77,HD147302_Bessell B_1171_out.fits,77.000000,0.000000,58589.785493,2458589.785493,2458589.785423,2458589.780274,2458589.781043,1.669903,36.691514,NaN,12.000000,0.000000,0.000000,12.191399,5.000000,11.000000,17.000000,47.544242,0.000000,0.343383,0.000000,138.458477,0.000000,19581.925641,139.962969,462.425752,424.010122,462.925752,600.489878,931007.815028,78.539816,965.379525,964.395650,30172.000000,11853.959666,10.222958,449.000000,6.127665,5.609107,5.637068,5.581146,40.628414,0.995698,683.278356,646.855692,683.778356,377.644308,19581.925641,139.962969,139.907904,678.000000,249.324821,0.000000,5.973536,5.345360,5.427483,5.263237,32.253781,0.994905
78,HD147302_Bessell B_1174_out.fits,78.000000,0.000000,58589.786047,2458589.786047,2458589.785977,2458589.780828,2458589.781597,1.662185,36.891324,NaN,12.000000,0.000000,0.000000,11.628582,5.000000,11.000000,17.000000,48.867880,0.000000,0.362593,0.000000,134.773268,0.000000,18543.455206,136.202560,462.660295,424.248841,463.160295,600.251159,906179.351552,78.539816,952.451431,951.417912,29176.000000,11537.833850,10.455422,459.000000,5.708343,5.626633,5.849976,5.403289,21.928610,0.987917,683.544679,647.111617,684.044679,377.388383,18543.455206,136.202560,136.146158,689.000000,236.102605,0.000000,5.357423,5.335648,5.510399,5.160897,26.691374,0.987966
