B		R		V	
Observed	Time	Observed	Time	Observed	Time
11.621534	58592.55125	6.734529	58592.55039	11.143956	58592.55416
17.975906	58592.55405	6.866591	58592.55428	10.552013	58592.55454
16.004965	58592.55443	6.754466	58592.55466	11.201895	58592.55492
13.824986	58592.55481	6.737961	58592.55504	11.049481	58592.55531
13.879058	58592.55519	6.915345	58592.55542	10.76866	58592.55568
13.425141	58592.55557	6.803353	58592.55579	11.354987	58592.55606
14.960333	58592.55594	6.750186	58592.55618	10.253827	58592.55644
16.700367	58592.55632	6.74813	58592.55656	10.17806	58592.55682
17.578158	58592.55671	6.746153	58592.55694	11.003904	58592.5572
16.298662	58592.55709	6.863857	58592.55732	10.743009	58592.55758
15.800858	58592.55746	6.693708	58592.55769	10.769335	58592.55796
17.064091	58592.55784	6.758678	58592.55807	11.097366	58592.55833
15.63665	58592.55822	6.747197	58592.55844	10.873018	58592.55871
14.057669	58592.55859	6.831901	58592.55882	10.632212	58592.55909
12.800173	58592.55898	6.726174	58592.55921	10.868567	58592.55948
17.254537	58592.55936	6.783628	58592.55959	10.706347	58592.55984
14.838766	58592.55974	6.742749	58592.55996	11.008102	58592.56023
16.424581	58592.56011	6.757006	58592.56034	11.128051	58592.56061
17.312175	58592.56049	6.794608	58592.56072	10.694318	58592.56099
16.611106	58592.56087	7.087032	58592.56111	10.505077	58592.56137
11.311833	58592.56125	6.784321	58592.56149	13.050583	58592.56175
17.136768	58592.56164	7.974975	58592.56187	10.924957	58592.56212
10.622104	58592.56202	7.082896	58592.56224	11.38619	58592.56251
13.807042	58592.56239	6.927812	58592.56262	11.533036	58592.56289
17.622563	58592.56277	6.965729	58592.563	10.629765	58592.56327
9.042948	58592.56315	6.650566	58592.56337	10.955083	58592.56364
16.060365	58592.56352	7.295026	58592.56376	11.197917	58592.56402
16.025155	58592.56391	7.10761	58592.56414	11.731027	58592.56439
17.075229	58592.56428	7.171388	58592.56451	11.172796	58592.56477
15.505996	58592.56466	6.971719	58592.56489	10.775233	58592.56516
14.318435	58592.56504	6.775302	58592.56527	10.996496	58592.56554
17.321615	58592.56542	6.916043	58592.56565	10.803164	58592.56591
15.514345	58592.5658	6.761298	58592.56602	10.666257	58592.56628
14.438948	58592.56617	6.726005	58592.56639	10.575883	58592.56665
16.089893	58592.56654	6.640134	58592.56676	10.384158	58592.56703
18.855082	58592.56691	6.717882	58592.56715		
