B		R		V	
79.457549	58446.73572	28.492159	58446.73611	42.032556	58446.73594
79.263471	58446.73636	29.155459	58446.73675	41.989136	58446.7366
84.959161	58446.73701	28.697123	58446.73739	41.818209	58446.73723
88.064218	58446.73765	29.018255	58446.73804	41.761252	58446.73788
84.12147	58446.7383	28.736795	58446.73869	41.520169	58446.73853
82.164294	58446.73894	28.920695	58446.73933	42.050218	58446.73918
78.438044	58446.73958	29.09683	58446.73998	42.221811	58446.73981
86.564964	58446.74023	28.466666	58446.74062	41.788754	58446.74046
81.781322	58446.74088	28.657314	58446.74127	42.698664	58446.74111
81.842979	58446.74152	28.232289	58446.74192	42.248483	58446.74175
83.74876	58446.74217	29.169751	58446.74256	42.882273	58446.74241
86.08794	58446.74282	29.089633	58446.7432	42.583846	58446.74304
85.050509	58446.74346	29.18946	58446.74385	41.119026	58446.74369
85.542328	58446.7441	28.575403	58446.74449	42.006003	58446.74432
86.916619	58446.74474	29.216907	58446.74512	42.074683	58446.74496
85.385253	58446.74538	29.386928	58446.74577	42.49942	58446.74561
81.714088	58446.74603	29.404497	58446.74642	43.581664	58446.74626
87.306776	58446.74668	29.186166	58446.74707	41.405303	58446.7469
85.70263	58446.74732	29.283633	58446.74772	43.047146	58446.74756
79.81939	58446.74797	29.879812	58446.74837	43.938864	58446.7482
85.331282	58446.74862	29.957878	58446.74901	44.065332	58446.74885
81.375522	58446.74927	29.039801	58446.74966	42.797709	58446.7495
82.91105	58446.74992	29.511279	58446.75031	43.470443	58446.75015
85.03189	58446.75056	29.998996	58446.75096	43.580329	58446.7508
85.248054	58446.75121	29.756135	58446.75161	43.158473	58446.75144
81.781792	58446.75186	29.590647	58446.75225	43.085659	58446.75209
81.251538	58446.75251	29.245921	58446.7529	42.991964	58446.75274
79.55144	58446.75316	29.113617	58446.75355	43.49898	58446.75339
87.081374	58446.7538	30.161969	58446.75419	43.339836	58446.75402
88.116269	58446.75444	29.020578	58446.75483	43.496109	58446.75467
84.420561	58446.75509	28.868211	58446.75548	42.834975	58446.75532
83.859238	58446.75574	29.558003	58446.75613	43.094976	58446.75597
88.646961	58446.75638	29.561617	58446.75677	43.313123	58446.75661
88.129804	58446.75702	29.943501	58446.75742	43.061908	58446.75725
81.574722	58446.75767	29.752142	58446.75806	43.184395	58446.7579
86.222219	58446.75832	30.17445	58446.75871	43.903456	58446.75855
86.174792	58446.75897	29.921035	58446.75936	43.638857	58446.7592
85.536513	58446.7596	29.86766	58446.75999	44.006704	58446.75982
86.352773	58446.76024	29.442596	58446.76063	43.418845	58446.76047
85.491296	58446.76089	29.615628	58446.76128	43.406089	58446.76112
82.170831	58446.76154	29.581667	58446.76193	43.995379	58446.76177
87.61036	58446.76218	29.612678	58446.76258	43.594203	58446.76242
86.258989	58446.76283	28.934019	58446.76321	43.210502	58446.76305
80.803116	58446.76347	30.19562	58446.76386	43.018104	58446.7637
83.030566	58446.76412	29.769703	58446.7645	43.12605	58446.76434
89.732234	58446.76475	29.765256	58446.76515	43.393216	58446.76499
83.546987	58446.7654	30.48287	58446.76579	43.37965	58446.76563
82.476806	58446.76605	29.865583	58446.76644	43.193837	58446.76628
79.289862	58446.7667	29.704317	58446.76709	42.112594	58446.76693
85.862074	58446.76734	29.797972	58446.76774	43.610037	58446.76758
91.654817	58446.76799	29.974819	58446.76839	42.794833	58446.76822
87.997203	58446.76864	29.691644	58446.76903	43.530019	58446.76887
81.421287	58446.76929	29.690114	58446.76968	42.779883	58446.76952
84.445485	58446.76993	29.33665	58446.77032	44.417417	58446.77016
89.597324	58446.77058	29.712127	58446.77097	43.542054	58446.77081
86.47046	58446.77122	30.223045	58446.77162	43.672404	58446.77145
84.145575	58446.77187	29.800335	58446.77227	43.390458	58446.7721
84.23837	58446.77252	29.431486	58446.77291	43.050196	58446.77275
74.701487	58446.77812	28.19079	58446.77852	41.751587	58446.77835
82.627097	58446.77877	29.707816	58446.77916	43.316744	58446.779
81.925938	58446.77942	28.977207	58446.77981	42.043349	58446.77965
78.076503	58446.78007	28.638712	58446.78046	42.407966	58446.7803
76.532787	58446.7807	29.43683	58446.7811	43.313606	58446.78094
78.891686	58446.78135	29.429782	58446.78173	43.004982	58446.78157
86.995617	58446.78198	29.435188	58446.78237	42.593949	58446.78221
75.394781	58446.78262	29.34996	58446.78302	41.266131	58446.78285
79.537483	58446.78327	29.024908	58446.78365	42.539652	58446.78349
81.137539	58446.78391	29.416185	58446.7843	41.850439	58446.78414
75.840977	58446.78456	29.477922	58446.78495	42.700668	58446.78479
81.280432	58446.78521	28.096666	58446.7856	41.48034	58446.78543
77.001978	58446.78585	28.794219	58446.78625	42.534656	58446.78609
72.109702	58446.7865	28.643871	58446.7869	42.18556	58446.78673
78.525019	58446.78715	28.759374	58446.78754	41.77454	58446.78738
76.7412	58446.7878	29.115152	58446.78819	41.676023	58446.78803
73.146063	58446.78845	28.590436	58446.78884	40.401214	58446.78868
72.616554	58446.7891	28.930396	58446.78949	41.862521	58446.78933
72.311866	58446.78974	28.936334	58446.79014	41.666235	58446.78997
79.402275	58446.79039	27.911675	58446.79078	41.449084	58446.79062
76.0103	58446.79104	28.072007	58446.79143	40.912692	58446.79127
68.790197	58446.79168	29.015518	58446.79208	40.518334	58446.79192
70.834298	58446.79233	29.371385	58446.79273	41.873043	58446.79257
82.150499	58446.79298	29.634909	58446.79337	43.302022	58446.7932
77.240783	58446.79362	28.068524	58446.79401	42.268806	58446.79385
74.623553	58446.79426	28.846118	58446.79465	41.696782	58446.79449
78.539934	58446.79491	29.467424	58446.7953	42.188963	58446.79514
82.022999	58446.79555	29.900043	58446.79595	42.703742	58446.79578
77.787074	58446.7962	29.0907	58446.79658	42.672261	58446.79642
74.325914	58446.79684	29.21606	58446.79723	41.86132	58446.79707
77.778928	58446.79749	28.768211	58446.79788	42.69899	58446.79772
77.428579	58446.79812	29.438272	58446.79852	42.070985	58446.79835
80.117026	58446.79877	29.397939	58446.79916	41.33353	58446.799
72.387272	58446.79942	28.471549	58446.79981	41.353082	58446.79965
76.982394	58446.80007	28.843049	58446.80046	42.176152	58446.8003
79.58095	58446.80071	28.679019	58446.80111	42.027001	58446.80095
79.157778	58446.80136	28.586872	58446.80176	41.758903	58446.80159
69.922802	58446.80201	28.477166	58446.8024	41.057489	58446.80224
77.469285	58446.80266	28.326062	58446.80305	41.344804	58446.80289
72.495948	58446.8033	28.40849	58446.80369	40.595003	58446.80353
77.223777	58446.80394	28.513922	58446.80434	41.304756	58446.80417
67.929751	58446.80459	28.22755	58446.80498	39.854372	58446.80482
63.026154	58446.80523	27.379591	58446.80562	40.76674	58446.80546
72.191091	58446.80587	27.646642	58446.80626	41.119668	58446.8061
73.277114	58446.80651	27.980996	58446.8069	40.689995	58446.80673
68.673324	58446.80715	28.495819	58446.80754	38.570425	58446.80738
67.808697	58446.8078	27.304568	58446.80819	40.287354	58446.80803
69.874396	58446.80844	28.083519	58446.80884	40.297134	58446.80868
73.630923	58446.80909	28.162586	58446.80949	40.38047	58446.80933
69.431318	58446.80974	26.474553	58446.81014	41.272513	58446.80997
69.41888	58446.81039	27.31147	58446.81078	39.707023	58446.81062
72.067489	58446.81104	27.250387	58446.81143	39.699521	58446.81127
70.700486	58446.81169	26.683479	58446.81208	39.103783	58446.81192
66.10371	58446.81233	27.404704	58446.81273	39.131132	58446.81257
66.016598	58446.81298	27.442414	58446.81338	39.504355	58446.81321
66.267697	58446.81363	28.425259	58446.81402	40.5554	58446.81386
73.930843	58446.81428	26.996716	58446.81466	39.943457	58446.8145
65.924919	58446.81491	26.502337	58446.8153	37.978236	58446.81514
65.544645	58446.81555	27.791462	58446.81594	42.179125	58446.81578
72.378817	58446.8162	28.325863	58446.81659	39.601363	58446.81643
70.963891	58446.81685	28.37179	58446.81724	40.133494	58446.81708
74.247877	58446.8175	27.943818	58446.81789	39.8615	58446.81773
69.373546	58446.81814	28.041133	58446.81853	39.277051	58446.81836
74.555204	58446.81878	28.596326	58446.81917	40.700729	58446.81901
76.167288	58446.81943	28.699886	58446.81982	41.306185	58446.81966
74.54072	58446.82007	28.235644	58446.82046	40.793317	58446.8203
74.704107	58446.82071	26.469362	58446.82111	41.333939	58446.82094
72.682492	58446.82136	28.233509	58446.82176	40.929929	58446.82159
70.925952	58446.82201	28.758355	58446.8224	40.987396	58446.82224
77.329767	58446.82266	28.495849	58446.82304	41.71802	58446.82288
77.808618	58446.8233	28.692621	58446.82369	41.219513	58446.82353
75.226823	58446.82394	28.336094	58446.82434	40.145497	58446.82417
81.067242	58446.82459	28.393835	58446.82498	40.790684	58446.82482
81.23519	58446.82523	28.336569	58446.82562	41.97574	58446.82546
76.870851	58446.82588	28.643824	58446.82627	41.088224	58446.82611
79.47759	58446.82652	27.930797	58446.82692	40.086157	58446.82675
72.683492	58446.82717	28.770285	58446.82757	40.584184	58446.8274
75.971577	58446.82782	28.202488	58446.82821	40.47578	58446.82805
76.587871	58446.82847	28.530851	58446.82886	40.667775	58446.8287
74.03694	58446.82912	27.933072	58446.82951	40.118531	58446.82935
78.813493	58446.82976	28.340457	58446.83016	41.417639	58446.83
67.826457	58446.83041	28.407938	58446.83081	39.951618	58446.83064
76.69102	58446.83106	28.535724	58446.83145	40.216142	58446.8313
77.082341	58446.83171	27.979901	58446.83211	39.40152	58446.83194
72.511152	58446.83236	28.470362	58446.83275	39.250182	58446.83259
70.149803	58446.83301	27.878927	58446.8334	41.42889	58446.83324
73.250761	58446.83364	27.373087	58446.83404	41.104865	58446.83388
75.393743	58446.83429	28.427286	58446.83469	41.122408	58446.83452
79.17659	58446.83494	28.501418	58446.83533	40.90131	58446.83517
70.204252	58446.83559	28.50992	58446.83598	40.787143	58446.83582
72.335375	58446.83624	28.331357	58446.83663	40.962004	58446.83647
76.939117	58446.83687	28.542114	58446.83726	42.339239	58446.83711
80.926638	58446.83752	27.383734	58446.8379	42.243904	58446.83774
70.6641	58446.83816	27.623264	58446.83855	40.862016	58446.83839
75.364898	58446.8388	28.646369	58446.8392	40.616392	58446.83904
70.587029	58446.83945	28.301702	58446.83985	40.111049	58446.83969
72.762358	58446.8401	28.860429	58446.8405	42.248018	58446.84033
75.044418	58446.84075	27.659634	58446.84113	41.672728	58446.84097
70.49523	58446.84139	27.896838	58446.84178	40.995882	58446.84162
73.743267	58446.84204	28.161104	58446.84243	41.414087	58446.84227
69.250558	58446.85054	28.797054	58446.85093	41.331223	58446.85077
79.918355	58446.85119	28.590879	58446.85158	43.719159	58446.85142
69.620243	58446.85184	28.669527	58446.85223	42.302736	58446.85207
71.688506	58446.85248	27.950344	58446.85287	41.587282	58446.8527
71.845224	58446.85312	28.951514	58446.85352	41.05933	58446.85335
74.004378	58446.85377	29.879573	58446.85416	43.272014	58446.854
67.714911	58446.85442	28.642903	58446.85481	41.0898	58446.85465
67.939261	58446.85507	28.566526	58446.85546	41.447584	58446.8553
71.494212	58446.85571	29.076786	58446.85611	41.954147	58446.85595
70.200886	58446.85635	28.347052	58446.85674	42.775244	58446.85658
70.971795	58446.857	27.150136	58446.85738	40.977387	58446.85722
67.229257	58446.85763	28.122373	58446.85802	43.090919	58446.85786
69.100455	58446.85827	27.431043	58446.85867	43.001236	58446.8585
69.840481	58446.85892	27.35173	58446.85931	42.182243	58446.85915
62.577192	58446.85957	28.864638	58446.85996	42.440707	58446.8598
65.572506	58446.86022	28.928147	58446.86061	41.047581	58446.86045
69.483083	58446.86086	28.217577	58446.86126	42.900803	58446.8611
63.418772	58446.86151	29.596617	58446.86191	42.761119	58446.86174
73.18558	58446.86216	28.976941	58446.86255	43.749962	58446.8624
68.361395	58446.8628	29.286865	58446.86319	42.074201	58446.86303
63.367121	58446.86345	27.829144	58446.86384	42.476854	58446.86368
63.917076	58446.8641	28.788311	58446.86449	39.920865	58446.86433
67.316728	58446.86474	29.374522	58446.86512	43.411551	58446.86496
63.856978	58446.86538	28.167799	58446.86577	41.317999	58446.86561
69.01642	58446.86603	28.519983	58446.86642	41.992668	58446.86626
69.520405	58446.86668	27.978948	58446.86707	43.646783	58446.86691
68.320689	58446.86732	27.871613	58446.86772	42.633963	58446.86755
71.099577	58446.86797	29.419075	58446.86836	43.204221	58446.86821
69.42027	58446.86862	28.767976	58446.86902	41.957191	58446.86885
69.711047	58446.86927	29.184004	58446.86966	42.325327	58446.8695
66.802859	58446.86991	28.266092	58446.87031	42.056476	58446.87015
70.119258	58446.87057	28.419049	58446.87096	42.940092	58446.8708
70.250048	58446.87121	28.920279	58446.8716	42.843507	58446.87143
73.858497	58446.87185	29.675546	58446.87224	43.069744	58446.87208
69.055889	58446.8725	28.579328	58446.87289	43.898041	58446.87273
66.985658	58446.87315	27.576616	58446.87354	43.407632	58446.87338
69.885246	58446.87379	28.671589	58446.87419	44.111741	58446.87403
64.463331	58446.87444	28.594409	58446.87484	44.193051	58446.87467
66.987471	58446.87509	28.922148	58446.87548	43.64321	58446.87532
68.271848	58446.87574	29.527254	58446.87613	45.351196	58446.87597
64.23089	58446.87639	27.640617	58446.87678	43.806345	58446.87662
64.462655	58446.87704	28.09721	58446.87743	41.713753	58446.87727
66.656962	58446.87768	27.231113	58446.87808	41.92714	58446.87791
58.339716	58446.87833	27.935353	58446.87872	44.843845	58446.87856
59.838706	58446.87898	28.007392	58446.87937	43.203728	58446.87921
52.507774	58446.87963	27.106816	58446.88002	46.55875	58446.87986
49.510953	58446.88027	26.813968	58446.88067	44.712055	58446.88051
48.922918	58446.88092	25.322879	58446.88132	50.50318	58446.88115
40.297451	58446.88157	25.237709	58446.88196	50.917779	58446.8818
43.599703	58446.88221	25.3722	58446.8826	53.393914	58446.88244
