B		R		V	
Observed	Time	Observed	Time	Observed	Time
80.304181	58446.70852	29.694341	58446.70891	43.24279	58446.70875
87.015711	58446.70916	29.507302	58446.70956	43.895995	58446.70939
86.15075	58446.70981	29.594172	58446.71021	43.113675	58446.71004
84.58512	58446.71046	29.01948	58446.71085	43.536725	58446.71069
82.723351	58446.71111	29.257329	58446.7115	44.345345	58446.71134
79.700693	58446.71175	30.099763	58446.71215	43.526121	58446.71199
84.427551	58446.7124	29.990239	58446.7128	42.635756	58446.71263
79.153426	58446.71305	29.780404	58446.71344	43.533228	58446.71329
79.62536	58446.7137	29.913603	58446.7141	43.328809	58446.71393
80.598529	58446.71435	29.969231	58446.71474	43.459426	58446.71458
88.972979	58446.715	28.894155	58446.71539	43.567302	58446.71523
81.225887	58446.71564	29.007907	58446.71604	43.099926	58446.71588
83.053451	58446.71629	29.452272	58446.71668	43.610909	58446.71653
78.577282	58446.71694	29.592944	58446.71734	42.306312	58446.71717
85.286328	58446.71759	29.096251	58446.71798	43.050042	58446.71782
82.354049	58446.71824	28.704475	58446.71863	42.213813	58446.71847
82.130262	58446.71889	28.48862	58446.71928	42.606767	58446.71912
80.907723	58446.71953	28.818221	58446.71993	41.649691	58446.71977
80.644644	58446.72018	29.092532	58446.72058	42.147436	58446.72041
87.718499	58446.72083	29.005918	58446.72122	42.407524	58446.72106
85.366119	58446.72148	28.67998	58446.72187	42.293035	58446.72171
83.215639	58446.72213	29.015202	58446.72252	42.76961	58446.72236
83.217503	58446.72277	29.353305	58446.72317	42.349118	58446.72301
83.93933	58446.72342	29.205621	58446.72382	43.545716	58446.72365
79.264464	58446.72407	28.803269	58446.72446	41.817619	58446.7243
77.369584	58446.72472	28.723804	58446.72511	41.919063	58446.72495
83.466286	58446.72537	29.126197	58446.72576	42.602647	58446.7256
86.871058	58446.72601	29.431181	58446.72641	42.185274	58446.72625
86.252827	58446.72666	28.670939	58446.72706	42.079816	58446.72689
81.901861	58446.72731	29.053441	58446.72769	42.557933	58446.72753
80.580794	58446.72795	28.772185	58446.72834	42.950064	58446.72818
80.663431	58446.72859	29.332267	58446.72899	42.772091	58446.72883
91.12998	58446.72924	28.66552	58446.72964	42.088403	58446.72948
85.104148	58446.72989	29.935619	58446.73029	42.938394	58446.73012
79.651361	58446.73054	29.069011	58446.73093	42.253702	58446.73077
85.874442	58446.73119	29.242415	58446.73158	42.654683	58446.73142
81.595786	58446.73184	29.225718	58446.73223	42.903534	58446.73207
83.864644	58446.73249	29.290148	58446.73288	41.819249	58446.73272
88.744398	58446.73314	28.925067	58446.73353	42.42637	58446.73337
82.549789	58446.73378	29.255027	58446.73416	41.402182	58446.734
84.977381	58446.73442	29.172287	58446.73481	42.415792	58446.73465
86.991182	58446.73507	29.454595	58446.73546	42.218338	58446.7353
