 ,Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,HJD_UTC,BJD_TDB,AIRMASS,ALT_OBJ,CCD-TEMP,EXPTIME,RAOBJ2K,DECOBJ2K,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_err_T1,rel_flux_err_C2,rel_flux_SNR_T1,rel_flux_SNR_C2,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2
1,HD147302_Bessell R_0945_out.fits,1.000000,0.000000,58589.741219,2458589.741219,2458589.741173,2458589.735999,2458589.736767,2.802059,20.730248,NaN,8.000000,0.000000,0.000000,5.271136,5.000000,11.000000,17.000000,39.743910,0.000000,0.260156,0.000000,152.769693,0.000000,23933.288634,154.728662,449.501974,427.406917,450.001974,597.093083,951202.481249,78.539816,975.301155,975.291043,34285.000000,12111.086142,0.000000,464.000000,5.309056,5.332856,5.285868,5.379843,53.223824,0.996127,434.175511,511.739324,434.675511,512.760676,23933.288634,154.728662,154.679090,896.000000,304.728095,0.000000,5.233217,5.191527,5.081648,5.301407,65.000211,0.995667
2,HD147302_Bessell R_0948_out.fits,2.000000,0.000000,58589.741777,2458589.741777,2458589.741730,2458589.736557,2458589.737325,2.776838,20.930996,NaN,8.000000,0.000000,0.000000,7.729763,5.000000,11.000000,17.000000,39.514167,0.000000,0.257416,0.000000,153.503442,0.000000,24167.098474,155.482313,449.755144,427.605744,450.255144,596.894256,954942.776802,78.539816,977.216652,977.206820,35760.000000,12158.709064,0.000000,472.000000,5.225474,5.290930,5.711767,4.870094,16.684697,0.964172,434.421206,511.992841,434.921206,512.507159,24167.098474,155.482313,155.433103,965.000000,307.705055,0.000000,4.962915,5.096032,5.510618,4.681446,15.812635,0.963964
3,HD147302_Bessell R_0951_out.fits,3.000000,0.000000,58589.742330,2458589.742330,2458589.742284,2458589.737110,2458589.737878,2.752254,21.130443,NaN,8.000000,0.000000,0.000000,9.145024,5.000000,11.000000,17.000000,39.696509,0.000000,0.260961,0.000000,152.116916,0.000000,23730.005835,154.070489,449.840037,427.229978,450.340037,597.270022,941998.400943,78.539816,970.582745,970.549297,33262.000000,11993.896152,0.197605,448.000000,5.321498,5.395584,5.577125,5.214042,28.421669,0.984896,434.550257,511.574335,435.050257,512.925665,23730.005835,154.070489,154.020449,920.000000,302.139818,0.000000,5.238786,5.136488,5.297124,4.975853,33.951434,0.972409
4,HD147302_Bessell R_0954_out.fits,4.000000,0.000000,58589.742887,2458589.742887,2458589.742840,2458589.737666,2458589.738435,2.728023,21.330778,NaN,8.000000,0.000000,0.000000,10.323860,5.000000,11.000000,17.000000,39.423260,0.000000,0.260585,0.000000,151.287365,0.000000,23475.957306,153.243816,449.020022,426.984764,449.520022,597.515236,925498.765980,78.539816,962.033720,962.023208,29363.000000,11783.816274,0.000000,448.000000,5.882873,5.560034,5.695645,5.424424,28.425959,0.992051,433.642302,511.378129,434.142302,513.121871,23475.957306,153.243816,153.193505,799.000000,298.905172,0.000000,5.619823,5.341645,5.469633,5.213657,29.392358,0.991460
5,HD147302_Bessell R_0957_out.fits,5.000000,0.000000,58589.743444,2458589.743444,2458589.743398,2458589.738224,2458589.738992,2.704194,21.531536,NaN,8.000000,0.000000,0.000000,9.888655,5.000000,11.000000,17.000000,39.436514,0.000000,0.254860,0.000000,154.737827,0.000000,24558.448533,156.735894,448.500200,426.700164,449.000200,597.799836,968499.600513,78.539816,984.128805,984.118741,39689.000000,12331.319904,0.000000,455.000000,4.785760,5.071227,5.014265,5.128189,49.723782,0.981274,433.087735,511.008843,433.587735,513.491157,24558.448533,156.735894,156.686818,1122.000000,312.687878,0.000000,4.667689,4.869600,4.787776,4.951423,51.119252,0.974882
6,HD147302_Bessell R_0960_out.fits,6.000000,0.000000,58589.743997,2458589.743997,2458589.743951,2458589.738777,2458589.739546,2.680962,21.730946,NaN,8.000000,0.000000,0.000000,9.765559,5.000000,11.000000,17.000000,39.196099,0.000000,0.252516,0.000000,155.222035,0.000000,24716.064080,157.237827,449.914077,426.769240,450.414077,597.730760,968773.289358,78.539816,984.267678,984.257952,40174.000000,12334.804619,0.000000,464.000000,4.994300,5.192113,5.389805,4.994420,22.943231,0.988066,434.541159,511.101476,435.041159,513.398524,24716.064080,157.237827,157.189047,1125.000000,314.694702,0.000000,4.648163,4.895966,5.092434,4.699499,21.665880,0.987865
7,HD147302_Bessell R_0963_out.fits,7.000000,0.000000,58589.744554,2458589.744554,2458589.744507,2458589.739334,2458589.740102,2.658042,21.931339,NaN,8.000000,0.000000,0.000000,10.195614,5.000000,11.000000,17.000000,39.253399,0.000000,0.257323,0.000000,152.545133,0.000000,23870.335265,154.525159,450.419491,426.474786,450.919491,598.025214,936991.795312,78.539816,967.988347,967.978383,33404.000000,11930.150069,0.000000,456.000000,5.437531,5.421294,5.474462,5.368126,39.413644,0.989755,435.105005,510.795539,435.605005,513.704461,23870.335265,154.525159,154.475397,920.000000,303.926548,0.000000,5.188139,5.324480,5.366488,5.282472,40.762034,0.988541
8,HD147302_Bessell R_0966_out.fits,8.000000,0.000000,58589.745110,2458589.745110,2458589.745063,2458589.739890,2458589.740658,2.635543,22.131701,NaN,8.000000,0.000000,0.000000,11.088033,5.000000,11.000000,17.000000,39.514589,0.000000,0.267553,0.000000,147.688790,0.000000,22371.734480,149.597515,449.785350,425.974570,450.285350,598.525430,884009.891930,78.539816,940.445912,939.990148,25612.000000,11255.563523,4.290221,459.000000,6.061263,5.763389,5.877094,5.649683,16.740886,0.997764,434.484541,510.405506,434.984541,514.094494,22371.734480,149.597515,149.546163,681.000000,284.845770,0.000000,5.919190,5.486161,5.542928,5.429394,31.473794,0.997930
9,HD147302_Bessell R_0969_out.fits,9.000000,0.000000,58589.745666,2458589.745666,2458589.745620,2458589.740446,2458589.741214,2.613450,22.332058,NaN,8.000000,0.000000,0.000000,10.896597,5.000000,11.000000,17.000000,39.596203,0.000000,0.261444,0.000000,151.452229,0.000000,23524.812064,153.403013,448.529447,425.873168,449.029447,598.626832,931493.241929,78.539816,965.356321,964.921679,31540.000000,11860.140313,4.251479,463.000000,5.461009,5.485960,5.327622,5.644299,69.218401,0.994058,433.151514,510.247912,433.651514,514.252088,23524.812064,153.403013,153.352998,860.000000,299.527210,0.000000,5.244151,5.309311,5.160351,5.458270,65.722363,0.992824
10,HD147302_Bessell R_0972_out.fits,10.000000,0.000000,58589.746219,2458589.746219,2458589.746173,2458589.740999,2458589.741768,2.591847,22.531528,NaN,8.000000,0.000000,0.000000,10.465449,5.000000,11.000000,17.000000,39.135483,0.000000,0.251335,0.000000,155.710256,0.000000,24872.720116,157.735260,448.729177,425.951002,449.229177,598.548998,973405.922184,78.539816,986.618276,986.608444,38878.000000,12393.789132,0.000000,455.000000,5.057084,5.098499,5.206653,4.990345,25.112919,0.995606,433.340983,510.341698,433.840983,514.158302,24872.720116,157.735260,157.686494,1081.000000,316.689308,0.000000,4.977217,4.835224,4.881728,4.788720,37.156499,0.994940
