 ,Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,HJD_UTC,BJD_TDB,AIRMASS,ALT_OBJ,CCD-TEMP,EXPTIME,RAOBJ2K,DECOBJ2K,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_err_T1,rel_flux_err_C2,rel_flux_SNR_T1,rel_flux_SNR_C2,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2
19,HD147302_Bessell V_0998_out.fits,19.000000,0.000000,58589.751049,2458589.751049,2458589.750991,2458589.745829,2458589.746598,2.418568,24.271878,NaN,10.000000,0.000000,0.000000,10.745218,5.000000,11.000000,17.000000,42.211914,0.000000,0.290693,0.000000,145.211421,0.000000,21593.389780,146.972998,451.448967,425.087267,451.948967,599.412733,911498.317945,78.539816,954.729029,954.719391,33550.000000,11605.557034,0.000000,463.000000,5.289319,5.278171,5.237313,5.319028,49.273376,0.989150,705.885244,580.256114,706.385244,444.243886,21593.389780,146.972998,146.920795,880.000000,274.935578,0.000000,5.200188,5.049858,5.031619,5.068097,46.587769,0.982996
20,HD147302_Bessell V_1001_out.fits,20.000000,0.000000,58589.751601,2458589.751601,2458589.751543,2458589.746381,2458589.747150,2.400344,24.470881,NaN,10.000000,0.000000,0.000000,10.537899,5.000000,11.000000,17.000000,42.625411,0.000000,0.295289,0.000000,144.351525,0.000000,21333.682654,146.086711,450.548745,424.489112,451.048745,600.010888,909356.996084,78.539816,953.607099,953.597133,33462.000000,11578.292877,0.000000,475.000000,5.358348,5.235965,5.523145,4.948786,23.346287,0.974577,704.906631,579.580077,705.406631,444.919923,21333.682654,146.086711,146.034383,918.000000,271.628884,0.000000,4.972231,5.068114,5.440733,4.695495,22.670848,0.956703
21,HD147302_Bessell V_1004_out.fits,21.000000,0.000000,58589.752157,2458589.752157,2458589.752100,2458589.746938,2458589.747706,2.382288,24.671352,NaN,10.000000,0.000000,0.000000,10.646905,5.000000,11.000000,17.000000,42.468236,0.000000,0.293860,0.000000,144.518539,0.000000,21385.125852,146.262731,452.609022,424.514446,453.109022,599.985554,908188.580934,78.539816,953.224089,952.754543,32218.000000,11563.416153,4.615176,468.000000,5.502406,5.166816,5.219698,5.113934,37.503416,0.993741,706.973776,579.569649,707.473776,444.930351,21385.125852,146.262731,146.210355,845.000000,272.283879,0.000000,5.253505,5.003377,5.030610,4.976144,42.349727,0.986115
22,HD147302_Bessell V_1007_out.fits,22.000000,0.000000,58589.752703,2458589.752703,2458589.752645,2458589.747483,2458589.748251,2.364878,24.867840,NaN,10.000000,0.000000,0.000000,10.962104,5.000000,11.000000,17.000000,42.644501,0.000000,0.301562,0.000000,141.411937,0.000000,20473.767250,143.113372,453.382656,425.420166,453.882656,599.079834,873093.591530,78.539816,934.403413,934.386133,28851.000000,11116.572870,0.055215,464.000000,5.757321,5.506209,5.665910,5.346508,24.959797,0.991897,707.609968,580.578462,708.109968,443.921538,20473.767250,143.113372,143.059778,727.000000,260.680101,0.000000,5.519983,5.288301,5.441306,5.135296,27.770659,0.989558
23,HD147302_Bessell V_1010_out.fits,23.000000,0.000000,58589.753246,2458589.753246,2458589.753188,2458589.748026,2458589.748794,2.347812,25.063578,NaN,10.000000,0.000000,0.000000,10.711738,5.000000,11.000000,17.000000,43.092808,0.000000,0.303039,0.000000,142.202228,0.000000,20698.457081,143.896340,454.763864,424.768589,455.263864,599.731411,891954.646849,78.539816,944.642118,944.224940,33315.000000,11356.719285,4.033426,452.000000,5.215833,5.305702,5.501418,5.109986,29.520772,0.979488,709.029387,579.872057,709.529387,444.627943,20698.457081,143.896340,143.842832,817.000000,263.540941,0.000000,5.245538,5.073388,5.260509,4.886268,31.735198,0.972800
24,HD147302_Bessell V_1013_out.fits,24.000000,0.000000,58589.753801,2458589.753801,2458589.753743,2458589.748581,2458589.749349,2.330653,25.263558,NaN,10.000000,0.000000,0.000000,11.193418,5.000000,11.000000,17.000000,42.879411,0.000000,0.302119,0.000000,141.928891,0.000000,20621.063196,143.626982,454.686552,424.488621,455.186552,600.011379,884219.034229,78.539816,940.334364,940.324068,27500.000000,11258.226406,0.000000,474.000000,5.905737,5.540866,5.743578,5.338153,24.622741,0.987471,708.961271,579.613488,709.461271,444.886512,20621.063196,143.626982,143.573742,749.000000,262.555531,0.000000,5.769361,5.367391,5.554305,5.180476,28.225214,0.984156
25,HD147302_Bessell V_1016_out.fits,25.000000,0.000000,58589.754358,2458589.754358,2458589.754300,2458589.749138,2458589.749906,2.313697,25.464415,NaN,10.000000,0.000000,0.000000,11.358381,5.000000,11.000000,17.000000,42.318739,0.000000,0.290945,0.000000,145.452925,0.000000,21663.977919,147.212918,454.811770,424.658738,455.311770,599.841262,916792.222662,78.539816,957.497731,957.487619,32503.000000,11672.961122,0.000000,466.000000,5.796435,5.237526,5.230196,5.244856,46.360648,0.996524,709.109362,579.752929,709.609362,444.747071,21663.977919,147.212918,147.160848,793.000000,275.834334,0.000000,5.726908,5.016002,5.001306,5.030697,49.512913,0.998605
26,HD147302_Bessell V_1019_out.fits,26.000000,0.000000,58589.754900,2458589.754900,2458589.754842,2458589.749681,2458589.750449,2.297453,25.659903,NaN,10.000000,0.000000,0.000000,11.111909,5.000000,11.000000,17.000000,42.126035,0.000000,0.292046,0.000000,144.244479,0.000000,21308.155754,145.999347,456.155303,423.805737,456.655303,600.694263,897628.119261,78.539816,947.722553,947.142301,30144.000000,11428.956179,5.756962,471.000000,5.688764,5.331003,5.603467,5.058538,16.762093,0.985044,710.406022,578.998830,710.906022,445.501170,21308.155754,145.999347,145.946925,835.000000,271.303865,0.000000,5.176675,5.039553,5.220348,4.858758,25.441152,0.987100
27,HD147302_Bessell V_1022_out.fits,27.000000,0.000000,58589.755455,2458589.755455,2458589.755397,2458589.750235,2458589.751004,2.281095,25.859904,NaN,10.000000,0.000000,0.000000,11.335877,5.000000,11.000000,17.000000,42.589685,0.000000,0.298556,0.000000,142.652179,0.000000,20834.956940,144.369791,455.830719,424.355326,456.330719,600.144674,887354.250912,78.539816,941.999870,941.989781,28747.000000,11298.145224,0.000000,460.000000,5.833185,5.430519,5.426376,5.434662,45.512446,0.992723,710.225883,579.552470,710.725883,444.947530,20834.956940,144.369791,144.316597,728.000000,265.278911,0.000000,5.726660,5.206636,5.157558,5.255714,49.090522,0.982452
28,HD147302_Bessell V_1025_out.fits,28.000000,0.000000,58589.756014,2458589.756014,2458589.755956,2458589.750794,2458589.751562,2.264890,26.061212,NaN,10.000000,0.000000,0.000000,11.523768,5.000000,11.000000,17.000000,43.018945,0.000000,0.303596,0.000000,141.697976,0.000000,20552.572854,143.388528,455.461432,423.987937,455.961432,600.512063,884150.004030,78.539816,940.297765,940.287254,27744.000000,11257.347486,0.000000,453.000000,5.876553,5.525999,5.524556,5.527442,45.161421,0.991407,709.830854,579.088870,710.330854,445.411130,20552.572854,143.388528,143.334848,688.000000,261.683485,0.000000,5.835107,5.293951,5.341198,5.246704,40.666831,0.985970
29,HD147302_Bessell V_1028_out.fits,29.000000,0.000000,58589.756569,2458589.756569,2458589.756511,2458589.751349,2458589.752117,2.249036,26.261284,NaN,10.000000,0.000000,0.000000,11.414655,5.000000,11.000000,17.000000,42.944258,0.000000,0.302592,0.000000,141.921456,0.000000,20618.212211,143.617121,456.014353,424.429269,456.514353,600.070731,885433.828454,78.539816,940.979862,940.970009,28873.000000,11273.693646,0.000000,466.000000,5.614863,5.584557,5.840539,5.328575,20.878597,0.984961,710.286934,579.546449,710.786934,444.953551,20618.212211,143.617121,143.563748,697.000000,262.519231,0.000000,5.690678,5.278385,5.479158,5.077612,28.025168,0.981498
30,HD147302_Bessell V_1031_out.fits,30.000000,0.000000,58589.757122,2458589.757122,2458589.757064,2458589.751902,2458589.752671,2.233472,26.460785,NaN,10.000000,0.000000,0.000000,10.978783,5.000000,11.000000,17.000000,43.196896,0.000000,0.302604,0.000000,142.750610,0.000000,20856.967067,144.445933,455.362646,424.001633,455.862646,600.498367,900956.237437,78.539816,949.192398,949.181893,32338.000000,11471.331096,0.000000,468.000000,5.354157,5.332134,5.342493,5.321775,44.056645,0.986072,709.581026,579.147939,710.081026,445.352061,20856.967067,144.445933,144.392899,795.000000,265.559153,0.000000,5.188754,5.107637,5.167030,5.048244,39.918973,0.982629
31,HD147302_Bessell V_1034_out.fits,31.000000,0.000000,58589.757680,2458589.757680,2458589.757622,2458589.752460,2458589.753228,2.218034,26.661770,NaN,10.000000,0.000000,0.000000,10.411201,5.000000,11.000000,17.000000,42.116907,0.000000,0.289857,0.000000,145.302240,0.000000,21621.526976,147.068690,456.204700,424.239309,456.704700,600.260691,910631.841802,78.539816,954.275273,954.265366,34918.000000,11594.524717,0.000000,463.000000,5.104620,5.176382,5.366493,4.986271,14.420314,0.992987,710.429007,579.382881,710.929007,445.117119,21621.526976,147.068690,147.016520,982.000000,275.293832,0.000000,4.738998,4.831937,4.945887,4.717986,14.126785,0.997136
32,HD147302_Bessell V_1037_out.fits,32.000000,0.000000,58589.758222,2458589.758222,2458589.758164,2458589.753002,2458589.753770,2.203249,26.857215,NaN,10.000000,0.000000,0.000000,10.416652,5.000000,11.000000,17.000000,42.453480,0.000000,0.296979,0.000000,142.951096,0.000000,20923.893761,144.677558,456.133139,424.055464,456.633139,600.444536,888292.100834,78.539816,942.497501,942.487487,30915.000000,11310.086301,0.000000,451.000000,5.316648,5.380577,5.469244,5.291909,37.690428,0.982957,710.426008,579.203773,710.926008,445.296227,20923.893761,144.677558,144.624322,814.000000,266.411290,0.000000,5.105456,5.134146,5.141738,5.126554,44.434266,0.977569
33,HD147302_Bessell V_1040_out.fits,33.000000,0.000000,58589.758778,2458589.758778,2458589.758720,2458589.753558,2458589.754327,2.188312,27.057694,NaN,10.000000,0.000000,0.000000,11.230131,5.000000,11.000000,17.000000,43.229668,0.000000,0.311424,0.000000,138.813087,0.000000,19722.297475,140.463361,455.557255,423.803789,456.057255,600.696211,852588.378633,78.539816,923.362270,923.351978,26201.000000,10855.492391,0.000000,469.000000,6.072024,5.719759,5.619446,5.820073,57.663346,0.993281,709.849534,578.919202,710.349534,445.580798,19722.297475,140.463361,140.408840,643.000000,251.112091,0.000000,5.971587,5.528873,5.369872,5.687874,60.817181,0.987994
34,HD147302_Bessell V_1043_out.fits,34.000000,0.000000,58589.759335,2458589.759335,2458589.759277,2458589.754116,2458589.754884,2.173565,27.258666,NaN,10.000000,0.000000,0.000000,11.219377,5.000000,11.000000,17.000000,42.357263,0.000000,0.294614,0.000000,143.771925,0.000000,21165.846462,145.511168,455.360267,423.760499,455.860267,600.739501,896527.333453,78.539816,946.856240,946.846306,29282.000000,11414.940539,0.000000,471.000000,5.787514,5.379012,5.402632,5.355391,42.157004,0.992143,709.559428,578.966311,710.059428,445.533689,21165.846462,145.511168,145.458570,839.000000,269.491927,0.000000,5.421109,5.105508,5.156763,5.054252,39.436515,0.989177
35,HD147302_Bessell V_1046_out.fits,35.000000,0.000000,58589.759889,2458589.759889,2458589.759831,2458589.754669,2458589.755438,2.159142,27.458222,NaN,10.000000,0.000000,0.000000,10.771635,5.000000,11.000000,17.000000,42.438476,0.000000,0.293139,0.000000,144.772511,0.000000,21460.457466,146.520100,454.952889,424.019453,455.452889,600.480547,910749.107637,78.539816,954.336739,954.326781,33376.000000,11596.017792,0.000000,459.000000,5.304933,5.302546,5.430247,5.174845,30.476797,0.990170,709.268973,579.213907,709.768973,445.286093,21460.457466,146.520100,146.467669,886.000000,273.243031,0.000000,5.018960,5.013854,5.126280,4.901427,34.934314,0.983039
36,HD147302_Bessell V_1049_out.fits,36.000000,0.000000,58589.760432,2458589.760432,2458589.760374,2458589.755213,2458589.755981,2.145191,27.654140,NaN,10.000000,0.000000,0.000000,10.949902,5.000000,11.000000,17.000000,42.337981,0.000000,0.293474,0.000000,144.264708,0.000000,21311.372457,146.010403,455.428168,423.681235,455.928168,600.818765,902280.490783,78.539816,949.889631,949.879293,31814.000000,11488.192013,0.000000,466.000000,5.641358,5.264194,5.314730,5.213657,19.074027,0.999404,709.663390,578.925784,710.163390,445.574216,21311.372457,146.010403,145.957905,811.000000,271.344822,0.000000,5.486811,5.067095,5.041148,5.093042,57.277262,0.999393
37,HD147302_Bessell V_1052_out.fits,37.000000,0.000000,58589.760978,2458589.760978,2458589.760920,2458589.755759,2458589.756527,2.131377,27.850987,NaN,10.000000,0.000000,0.000000,11.504953,5.000000,11.000000,17.000000,43.094017,0.000000,0.304251,0.000000,141.639722,0.000000,20534.871603,143.326790,456.214295,424.121268,456.714295,600.378732,884930.115307,78.539816,940.712473,940.702011,26373.000000,11267.280171,0.000000,453.000000,6.150345,5.570384,5.751856,5.388911,25.674375,0.989140,710.404658,579.323281,710.904658,445.176719,20534.871603,143.326790,143.273087,711.000000,261.458106,0.000000,5.909659,5.332568,5.438869,5.226266,28.098319,0.994869
38,HD147302_Bessell V_1055_out.fits,38.000000,0.000000,58589.761533,2458589.761533,2458589.761475,2458589.756314,2458589.757082,2.117549,28.050975,NaN,10.000000,0.000000,0.000000,11.452069,5.000000,11.000000,17.000000,42.633252,0.000000,0.303837,0.000000,140.316298,0.000000,20157.959122,142.005678,455.592552,423.897133,456.092552,600.602867,859399.359313,78.539816,927.043390,927.032508,27620.000000,10942.212490,0.000000,471.000000,5.880653,5.588213,5.805429,5.370997,32.138938,0.968012,709.969035,579.034887,710.469035,445.465113,20157.959122,142.005678,141.951782,726.000000,256.659107,0.000000,5.518531,5.357249,5.617713,5.096785,31.764069,0.952639
39,HD147302_Bessell V_1058_out.fits,39.000000,0.000000,58589.762075,2458589.762075,2458589.762018,2458589.756856,2458589.757624,2.104223,28.246530,NaN,10.000000,0.000000,0.000000,10.735081,5.000000,11.000000,17.000000,42.979227,0.000000,0.299746,0.000000,143.385503,0.000000,21045.227473,145.096062,455.223859,423.774576,455.723859,600.725424,904507.615501,78.539816,951.060950,951.051156,34338.000000,11516.548646,0.000000,477.000000,5.173587,5.275811,5.396432,5.155190,18.034972,0.996803,709.478260,578.845956,709.978260,445.654044,21045.227473,145.096062,145.043409,866.000000,267.956158,0.000000,4.844507,4.995467,5.040773,4.950160,34.267862,0.997543
40,HD147302_Bessell V_1061_out.fits,40.000000,0.000000,58589.762621,2458589.762621,2458589.762564,2458589.757402,2458589.758170,2.091000,28.443378,NaN,10.000000,0.000000,0.000000,11.884698,5.000000,11.000000,17.000000,43.087770,0.000000,0.305500,0.000000,141.040105,0.000000,20361.481673,142.720546,454.738457,424.216522,455.238457,600.283478,877330.838829,78.539816,936.664657,936.654151,23759.000000,11170.523178,0.000000,463.000000,6.632187,5.672379,5.795120,5.549638,33.350452,0.988040,709.063274,579.496473,709.563274,445.003527,20361.481673,142.720546,142.666787,656.000000,259.250437,0.000000,6.402127,5.386108,5.492461,5.279756,35.938491,0.983894
41,HD147302_Bessell V_1064_out.fits,41.000000,0.000000,58589.763176,2458589.763176,2458589.763118,2458589.757957,2458589.758725,2.077757,28.643409,NaN,10.000000,0.000000,0.000000,11.628118,5.000000,11.000000,17.000000,42.852734,0.000000,0.299344,0.000000,143.155453,0.000000,20979.200028,144.868417,456.773614,423.793922,457.273614,600.706078,899016.088045,78.539816,948.169575,948.159604,29848.000000,11446.628347,0.000000,469.000000,5.764509,5.378906,5.329245,5.428568,50.194907,0.989518,711.079552,578.852205,711.579552,445.647795,20979.200028,144.868417,144.815554,809.000000,267.115471,0.000000,5.607028,5.117796,5.077701,5.157891,49.008573,0.987380
42,HD147302_Bessell V_1067_out.fits,42.000000,0.000000,58589.763734,2458589.763734,2458589.763676,2458589.758514,2458589.759283,2.064645,28.844361,NaN,10.000000,0.000000,0.000000,11.093692,5.000000,11.000000,17.000000,42.399438,0.000000,0.295907,0.000000,143.286238,0.000000,21022.911687,145.019238,457.133199,424.071239,457.633199,600.428761,891359.643901,78.539816,944.362846,943.874114,31449.000000,11349.143472,4.713467,465.000000,5.411002,5.374668,5.561109,5.188227,16.068494,0.993303,711.385296,579.268235,711.885296,445.231765,21022.911687,145.019238,144.966364,805.000000,267.672025,0.000000,5.148265,5.099271,5.220071,4.978472,22.105604,0.995636
43,HD147302_Bessell V_1070_out.fits,43.000000,0.000000,58589.764288,2458589.764288,2458589.764231,2458589.759069,2458589.759837,2.051776,29.044448,NaN,10.000000,0.000000,0.000000,11.217013,5.000000,11.000000,17.000000,42.110698,0.000000,0.297705,0.000000,141.451026,0.000000,20491.062705,143.173728,456.439614,423.669445,456.939614,600.830555,862892.956187,78.539816,928.977578,928.863060,28039.000000,10986.694347,0.906103,471.000000,5.693029,5.523637,5.527278,5.519996,44.714553,0.982490,710.761643,578.822001,711.261643,445.677999,20491.062705,143.173728,143.120271,690.000000,260.900313,0.000000,5.647304,5.345678,5.331187,5.360169,46.015383,0.976591
44,HD147302_Bessell V_1073_out.fits,44.000000,0.000000,58589.764842,2458589.764842,2458589.764784,2458589.759623,2458589.760391,2.039125,29.243991,NaN,10.000000,0.000000,0.000000,11.523845,5.000000,11.000000,17.000000,43.218414,0.000000,0.312143,0.000000,138.457308,0.000000,19621.496079,140.104126,456.583852,423.594228,457.083852,600.905772,848009.935936,78.539816,920.880109,920.868990,25874.000000,10797.197848,0.000000,464.000000,5.948555,5.609024,5.776089,5.441960,11.411458,0.995830,710.995036,578.741043,711.495036,445.758957,19621.496079,140.104126,140.049381,632.000000,249.828647,0.000000,5.882123,5.485990,5.627425,5.344555,18.783567,0.995774
45,HD147302_Bessell V_1076_out.fits,45.000000,0.000000,58589.765401,2458589.765401,2458589.765343,2458589.760182,2458589.760950,2.026531,29.445486,NaN,10.000000,0.000000,0.000000,11.663308,5.000000,11.000000,17.000000,42.596672,0.000000,0.301634,0.000000,141.219780,0.000000,20418.692016,142.920775,456.813981,423.959821,457.313981,600.540179,869768.335837,78.539816,932.619058,932.608366,26384.000000,11074.234399,0.000000,470.000000,6.020742,5.567955,5.562028,5.573881,46.319830,0.997863,711.166066,579.100069,711.666066,445.399931,20418.692016,142.920775,142.867208,678.000000,259.978861,0.000000,5.782028,5.351197,5.276872,5.425522,56.820395,0.995203
46,HD147302_Bessell V_1079_out.fits,46.000000,0.000000,58589.765954,2458589.765954,2458589.765896,2458589.760735,2458589.761503,2.014231,29.645093,NaN,10.000000,0.000000,0.000000,10.806181,5.000000,11.000000,17.000000,42.188198,0.000000,0.293874,0.000000,143.558856,0.000000,21105.388869,145.303384,459.016940,424.118602,459.516940,600.381398,890398.323908,78.539816,943.835923,943.382533,34675.000000,11336.903566,4.349854,458.000000,5.049704,5.263923,5.371033,5.156812,27.162874,0.995134,713.349081,579.226066,713.849081,445.273934,21105.388869,145.303384,145.250498,864.000000,268.722157,0.000000,4.899351,5.008499,5.105397,4.911602,31.812316,0.992420
