 ,Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,HJD_UTC,BJD_TDB,AIRMASS,ALT_OBJ,CCD-TEMP,EXPTIME,RAOBJ2K,DECOBJ2K,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_C5,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_err_C4,rel_flux_err_C5,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,rel_flux_SNR_C4,rel_flux_SNR_C5,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3,X(IJ)_C4,Y(IJ)_C4,X(FITS)_C4,Y(FITS)_C4,Source-Sky_C4,Source_Error_C4,Source_SNR_C4,Peak_C4,Mean_C4,Sky/Pixel_C4,FWHM_C4,Width_C4,X-Width_C4,Y-Width_C4,Angle_C4,Roundness_C4,X(IJ)_C5,Y(IJ)_C5,X(FITS)_C5,Y(FITS)_C5,Source-Sky_C5,Source_Error_C5,Source_SNR_C5,Peak_C5,Mean_C5,Sky/Pixel_C5,FWHM_C5,Width_C5,X-Width_C5,Y-Width_C5,Angle_C5,Roundness_C5
63,HD106306_Bessell B_0229_out.fits,63,0,58589.51889,2458589.519,2458589.519,2458589.514,2458589.514,-1,-59.568622,NaN,10,0,0,6.535161,5,11,17,20.611046,0.340017,0.539128,0.319905,0.181486,0.11937,0.00442,0.006392,0.004223,0.002848,172.664922,76.935112,84.349257,75.760976,63.733499,31288.48623,176.97101,478.215644,392.681839,478.715644,631.818161,644888.4165,78.539816,803.054821,803.044076,21841,8210.974339,0,518,5.577721,5.416874,5.659429,5.174319,7.900775,0.991372,828.042998,366.690869,828.542998,657.809131,7939.173343,89.144475,89.059623,361,101.084695,0,5.212728,4.781261,5.015357,4.547164,1.815329,0.990419,790.233629,655.161326,790.733629,369.338674,10959.77653,104.72509,104.652825,468,139.544209,0,5.008757,4.951175,5.110996,4.791354,13.191329,0.994818,195.850625,626.926659,196.350625,397.573341,7583.373584,87.125998,87.039159,325,96.554511,0,4.958309,4.885924,5.209913,4.561935,3.281292,0.982335,350.138618,300.512913,350.638618,723.987087,4806.162776,69.380956,69.272075,226,61.193965,0,4.970646,4.669525,4.913768,4.425282,1.994166,0.989063
64,HD106306_Bessell B_0232_out.fits,64,0,58589.51937,2458589.519,2458589.519,2458589.514,2458589.515,-1,-59.397514,NaN,10,0,0,6.133789,5,11,17,20.771576,0.34708,0.545091,0.318287,0.173871,0.122062,0.004555,0.006547,0.004269,0.00281,170.172861,76.19322,83.252961,74.556448,61.867303,30381.83501,174.390685,477.260303,392.447298,477.760303,632.052702,631078.5839,78.539816,794.409978,794.399116,21889,8035.142088,0,515,5.300274,5.397528,5.609216,5.18584,13.320366,0.992323,827.094826,366.387926,827.594826,658.112074,7827.990373,88.5187,88.433183,357,99.669069,0,4.67341,4.834945,5.101089,4.568801,13.022022,0.985076,789.283492,654.870711,789.783492,369.629289,10718.3721,103.566172,103.492983,490,136.470552,0,4.79246,4.924613,5.042897,4.806329,26.071438,0.99388,194.853642,626.648952,195.353642,397.851048,7335.393883,85.691072,85.602779,346,93.397136,0,4.62818,4.835905,5.094112,4.577698,13.425219,0.985755,349.104282,300.394705,349.604282,724.105295,4500.078649,67.138951,67.026347,218,57.296781,0,4.73946,4.747757,4.99115,4.504364,13.609883,0.986776
65,HD106306_Bessell B_0235_out.fits,65,0,58589.51984,2458589.52,2458589.52,2458589.515,2458589.515,-1,-59.225972,NaN,10,0,0,6.789585,5,11,17,20.802416,0.345428,0.540741,0.32055,0.175857,0.121408,0.004508,0.006459,0.004262,0.002812,171.342824,76.625527,83.722997,75.203983,62.540177,30798.53465,175.581339,477.172703,392.312787,477.672703,632.187213,640683.9232,78.539816,800.432688,800.421988,20059,8157.441067,0,513,6.083299,5.586066,5.623468,5.548664,330.050387,0.999287,826.934977,366.362039,827.434977,658.137961,7907.277193,88.96546,88.880305,329,100.67858,0,5.360254,4.955465,4.92959,4.981339,305.134907,0.999043,789.078387,654.68679,789.578387,369.81321,10809.10215,104.003269,103.930407,440,137.625763,0,5.336261,5.137135,5.157965,5.116305,318.88084,0.996394,194.883693,626.471529,195.383693,398.028471,7476.037724,86.507757,86.420432,288,95.187869,0,5.61016,5.112575,5.189607,5.035543,326.891641,0.994419,348.963287,300.134446,349.463287,724.365554,4606.117584,67.924087,67.812727,206,58.646911,0,5.424161,4.984953,5.154922,4.814984,345.052697,0.993827
66,HD106306_Bessell B_0238_out.fits,66,0,58589.52032,2458589.52,2458589.52,2458589.515,2458589.516,-1,-59.053903,NaN,10,0,0,6.202023,5,11,17,20.478316,0.335308,0.549237,0.324324,0.17574,0.117588,0.004335,0.006437,0.004229,0.002764,174.153167,77.34205,85.322669,76.695072,63.574793,31839.22505,178.520293,478.484153,392.438163,478.984153,632.061837,652013.7086,78.539816,807.478828,807.468489,24163,8301.696375,0,512,5.117219,5.331093,5.55769,5.104496,338.749205,0.986753,828.379181,366.46238,828.879181,658.03762,7995.111354,89.457751,89.373042,360,101.796919,0,5.072686,4.785469,5.016113,4.554825,333.138942,0.973584,790.464439,654.85569,790.964439,369.64431,11287.67811,106.279067,106.207915,511,143.719181,0,4.770596,4.850258,5.094136,4.60638,335.905838,0.977362,196.116296,626.617338,196.616296,397.882662,7797.361014,88.345487,88.259868,378,99.279084,0,4.685479,4.851959,5.178953,4.524965,338.785352,0.966953,350.499409,300.276881,350.999409,724.223119,4759.074574,69.040861,68.931275,238,60.594419,0,4.574548,4.754124,5.05516,4.453089,333.260606,0.955077
67,HD106306_Bessell B_0241_out.fits,67,0,58589.52079,2458589.521,2458589.521,2458589.516,2458589.516,-1,-58.884182,NaN,10,0,0,7.162549,5,11,17,21.30542,0.340008,0.55469,0.325274,0.168279,0.130254,0.004669,0.006918,0.004516,0.002865,163.568503,72.826367,80.179241,72.022128,58.74555,28039.34556,167.539959,479.338364,392.094474,479.838364,632.405526,597390.0317,78.539816,772.91578,772.904432,16147,7606.206119,0,514,6.462128,5.865102,5.886836,5.843367,31.75249,0.999724,829.179532,366.115247,829.679532,658.384753,7114.583054,84.392932,84.303067,258,90.585685,0,5.731189,5.322953,5.405117,5.24079,16.497593,0.998646,791.299549,654.53552,791.799549,369.96448,10004.02047,100.058036,99.982179,339,127.375145,0,5.83782,5.387986,5.394459,5.381514,326.704418,0.999963,196.9307,626.323297,197.4307,398.176703,6881.953534,83.003071,82.912035,223,87.623754,0,6.322427,5.503522,5.742588,5.264456,2.016317,0.992443,351.425457,299.88507,351.925457,724.61493,4038.7885,63.610931,63.492051,180,51.423452,0,5.257161,5.169423,5.248106,5.09074,341.759076,0.998567
68,HD106306_Bessell B_0244_out.fits,68,0,58589.52126,2458589.521,2458589.521,2458589.516,2458589.517,-1,-58.712623,NaN,10,0,0,7.049188,5,11,17,20.999362,0.335721,0.559712,0.322613,0.170799,0.126079,0.00454,0.006845,0.004407,0.002839,166.556917,73.948423,81.77538,73.208008,60.156402,29091.12922,170.649897,480.065209,391.93088,480.565209,632.56912,610895.1655,78.539816,781.603359,781.592298,17942,7778.158824,0,518,6.245678,5.752371,5.815463,5.689279,3.417203,0.999512,830.028441,365.941897,830.528441,658.558103,7311.786477,85.553203,85.46479,290,93.096557,0,5.448472,5.269444,5.45516,5.083729,10.523163,0.99431,792.049668,654.325178,792.549668,370.174822,10439.5267,102.21102,102.136997,360,132.920182,0,5.504686,5.330586,5.466907,5.194265,347.417479,0.996811,197.643019,626.10525,198.143019,398.39475,7095.930633,84.282291,84.192427,273,90.348195,0,5.3483,5.271371,5.40736,5.135381,357.976912,0.997328,352.069444,299.621465,352.569444,724.878535,4243.885402,65.203065,65.087207,156,54.034827,0,5.536253,5.15155,5.286964,5.016137,332.739905,0.991807
69,HD106306_Bessell B_0247_out.fits,69,0,58589.52174,2458589.522,2458589.522,2458589.517,2458589.517,-1,-58.541599,NaN,10,0,0,6.088906,5,11,17,20.639135,0.339594,0.551253,0.321809,0.173259,0.119617,0.004419,0.006519,0.004244,0.002765,172.543688,76.855107,84.563774,75.821137,62.661117,31242.65562,176.841522,480.490767,392.194884,480.990767,632.305116,644821.3724,78.539816,803.012963,803.002444,23816,8210.120707,0,518,5.047125,5.33708,5.36667,5.30749,319.404269,0.994757,830.443398,366.19944,830.943398,658.30056,7920.182544,89.037861,88.952974,368,100.842896,0,4.535445,4.852071,4.98746,4.716682,331.954097,0.990008,792.444553,654.591702,792.944553,369.908298,11102.38203,105.403814,105.331881,472,141.359918,0,4.906304,4.964166,5.073021,4.855311,329.078013,0.99137,198.18602,626.285479,198.68602,398.214521,7606.378068,87.257962,87.171163,370,96.847413,0,4.52595,4.844889,4.999907,4.68987,336.904915,0.991472,352.510088,299.996759,353.010088,724.503241,4613.712978,67.979904,67.868778,238,58.743618,0,4.380518,4.707921,4.773321,4.642521,322.028467,0.986921
70,HD106306_Bessell B_0250_out.fits,70,0,58589.52222,2458589.522,2458589.522,2458589.517,2458589.518,-1,-58.369584,NaN,10,0,0,7.340121,5,11,17,20.776846,0.339464,0.554757,0.323622,0.169942,0.121852,0.004471,0.006633,0.004314,0.002764,170.509448,75.9301,83.63037,75.023643,61.489959,30501.66591,174.733906,480.737017,392.246043,481.237017,632.253957,633728.4177,78.539816,796.075971,796.065251,17913,8068.880821,0,517,6.692913,5.716176,5.856692,5.575659,327.880499,0.987219,830.862645,366.407361,831.362645,658.092639,7730.122216,87.964198,87.87805,273,98.422973,0,6.026833,5.191297,5.312131,5.070463,325.249732,0.982348,792.763288,654.627324,793.263288,369.872676,10883.38714,104.359729,104.28723,368,138.571589,0,6.108112,5.353644,5.422858,5.28443,319.483144,0.972484,198.407434,626.395065,198.907434,398.104935,7457.5793,86.401106,86.31347,257,94.952849,0,5.985497,5.224164,5.391136,5.057192,328.053843,0.978943,352.593782,300.173416,353.093782,724.326584,4430.577246,66.619318,66.505893,173,56.411862,0,5.798342,5.1093,5.33249,4.886111,326.764494,0.952289
71,HD106306_Bessell B_0253_out.fits,71,0,58589.52269,2458589.523,2458589.523,2458589.517,2458589.518,-1,-58.198497,NaN,10,0,0,6.386906,5,11,17,20.755447,0.33957,0.54505,0.324261,0.174915,0.121308,0.004456,0.006512,0.004305,0.002806,171.097069,76.199434,83.705659,75.321946,62.335967,30713.53766,175.339197,481.201999,391.652725,481.701999,632.847275,637473.1904,78.539816,798.424623,798.413741,22126,8116.560748,0,517,5.398444,5.471122,5.422336,5.519908,305.405188,0.997057,831.177977,365.837312,831.677977,658.662688,7785.632931,88.279245,88.193243,354,99.129757,0,4.781173,4.887555,4.79641,4.9787,296.779924,0.99606,793.196272,654.247461,793.696272,370.252539,10834.86745,104.127044,104.054307,468,137.953817,0,4.833045,5.017481,4.938686,5.096276,296.816648,0.997196,199.071016,625.913523,199.571016,398.586477,7520.57191,86.764888,86.677596,346,95.754896,0,4.937671,4.994433,4.916482,5.072384,292.242654,0.998087,353.143506,299.509536,353.643506,724.990464,4572.465377,67.675857,67.564204,219,58.218437,0,4.644077,4.747237,4.672251,4.822223,304.180274,0.992665
72,HD106306_Bessell B_0256_out.fits,72,0,58589.52316,2458589.523,2458589.523,2458589.518,2458589.519,-1,-58.026934,NaN,10,0,0,5.973726,5,11,17,20.353887,0.34571,0.538425,0.322232,0.17566,0.116763,0.004432,0.006322,0.004204,0.00276,174.317568,78.010743,85.164774,76.651332,63.633664,31908.39384,178.713972,482.604444,391.908767,483.104444,632.591233,649459.8561,78.539816,805.895989,805.885455,25096,8269.179715,0,506,4.978359,5.299227,5.629199,4.969255,344.465916,0.979024,832.491343,365.954599,832.991343,658.545401,8197.197611,90.580227,90.496545,417,104.369962,0,4.782806,4.639921,5.012714,4.267129,343.457705,0.963689,794.672536,654.348333,795.172536,370.151667,11167.4486,105.711923,105.640388,539,142.188372,0,4.746633,4.859039,5.307019,4.41106,343.004939,0.951373,200.346972,626.034982,200.846972,398.465018,7776.181806,88.225573,88.139771,424,99.009422,0,4.275528,4.684294,5.081399,4.287189,344.145258,0.960845,354.53396,299.722851,355.03396,724.777149,4767.565823,69.102415,68.992753,245,60.702533,0,4.698397,4.630007,5.089726,4.170288,340.375561,0.93552
