J.D.-2400000	FILTER	Relative Flux	Relative Flux Error
57985.43073	R	0.861501	0.00336
57985.43154	R	0.861823	0.003357
57985.43235	R	0.863716	0.003357
57985.43317	R	0.865572	0.003356
57985.43398	R	0.863089	0.00335
57985.43479	R	0.870553	0.003387
57985.43561	R	0.866195	0.003372
57985.43642	R	0.865875	0.003357
57985.43723	R	0.865517	0.00337
57985.43805	R	0.865421	0.003396
57985.43886	R	0.863289	0.003364
57985.43968	R	0.858731	0.003341
57985.44049	R	0.872651	0.003407
57985.4413	R	0.869106	0.003406
57985.44212	R	0.860473	0.003371
57985.44293	R	0.85995	0.003374
57985.44374	R	0.864058	0.00337
57985.44456	R	0.869851	0.003401
57985.44537	R	0.864884	0.003389
57985.44618	R	0.865457	0.003386
57985.44699	R	0.865228	0.003383
57985.44781	R	0.859631	0.003374
57985.44862	R	0.857526	0.003347
57985.44943	R	0.860646	0.003364
57985.45025	R	0.869482	0.00341
57985.45106	R	0.863972	0.003404
57985.45187	R	0.86017	0.003379
57985.45269	R	0.867892	0.00341
57985.4535	R	0.869857	0.003421
57985.45431	R	0.867979	0.003414
57985.45512	R	0.86124	0.003375
57985.45594	R	0.857188	0.003372
57985.45675	R	0.858597	0.003382
57985.45756	R	0.860433	0.003387
57985.45838	R	0.855873	0.003365
57985.45919	R	0.860899	0.003401
57985.46	R	0.855057	0.003392
57985.46081	R	0.861735	0.0034
57985.46162	R	0.858472	0.003412
57985.46244	R	0.865554	0.003443
57985.46325	R	0.852828	0.003397
57985.46406	R	0.861996	0.003436
57985.46487	R	0.853195	0.003399
57985.46569	R	0.852885	0.003405
57985.4665	R	0.847945	0.003386
57985.46732	R	0.848863	0.003393
57985.46813	R	0.849135	0.003387
57985.46894	R	0.854085	0.003418
57985.46975	R	0.840269	0.003378
57985.47057	R	0.853623	0.003418
57985.47138	R	0.849907	0.003425
57985.47219	R	0.848432	0.003399
57985.47301	R	0.841519	0.003369
57985.47382	R	0.837909	0.00336
57985.47463	R	0.844619	0.003393
57985.47544	R	0.832686	0.003339
57985.47626	R	0.845461	0.003405
57985.47707	R	0.84554	0.003397
57985.47788	R	0.836611	0.003368
57985.4787	R	0.837043	0.003371
57985.47951	R	0.835719	0.003381
57985.48032	R	0.839037	0.003378
57985.48113	R	0.838872	0.003385
57985.48195	R	0.829756	0.003358
57985.48276	R	0.830449	0.003371
57985.48357	R	0.830219	0.003355
57985.48439	R	0.833543	0.003385
57985.4852	R	0.823137	0.003348
57985.48601	R	0.831689	0.003366
57985.48683	R	0.823538	0.00335
57985.48764	R	0.82877	0.003366
57985.48845	R	0.823373	0.003358
57985.48927	R	0.820372	0.003333
57985.49008	R	0.817278	0.003326
57985.49089	R	0.818386	0.003334
57985.49171	R	0.816793	0.003327
57985.49252	R	0.812407	0.003309
57985.49334	R	0.816099	0.003335
57985.49415	R	0.812198	0.003324
57985.49496	R	0.807624	0.003305
57985.49577	R	0.812437	0.003358
57985.49658	R	0.806738	0.003332
57985.4974	R	0.801533	0.003289
57985.49821	R	0.804768	0.00335
57985.49902	R	0.804628	0.003337
57985.49983	R	0.802096	0.003356
57985.50065	R	0.800446	0.003306
57985.50146	R	0.793056	0.003299
57985.50227	R	0.790925	0.003288
57985.50308	R	0.788347	0.003261
57985.5039	R	0.79619	0.003299
57985.50471	R	0.783209	0.003248
57985.50552	R	0.789089	0.003278
57985.50634	R	0.782925	0.003253
57985.50715	R	0.777662	0.003243
57985.50797	R	0.778281	0.00326
57985.50878	R	0.778818	0.003251
57985.50959	R	0.768599	0.003211
57985.51041	R	0.764712	0.003206
57985.51122	R	0.766637	0.003213
57985.51203	R	0.765353	0.003208
57985.51284	R	0.756906	0.003181
57985.51366	R	0.760674	0.003206
57985.51447	R	0.749582	0.003177
57985.51528	R	0.755211	0.00318
57985.51609	R	0.746125	0.003156
57985.51691	R	0.751554	0.00317
57985.51772	R	0.735975	0.003099
57985.51853	R	0.741985	0.003148
57985.51934	R	0.733986	0.003118
57985.52016	R	0.742209	0.003153
57985.52097	R	0.729194	0.003119
57985.52178	R	0.730289	0.003127
57985.5226	R	0.724694	0.003119
57985.52341	R	0.721565	0.003107
57985.52422	R	0.720485	0.003093
57985.52503	R	0.721826	0.003123
57985.52585	R	0.719515	0.003106
57985.52666	R	0.714668	0.003083
57985.52747	R	0.711246	0.003085
57985.52828	R	0.707813	0.003069
57985.5291	R	0.702459	0.003057
57985.52991	R	0.703059	0.003069
57985.53073	R	0.698218	0.003063
57985.53154	R	0.699282	0.003146
57985.53235	R	0.698988	0.003057
57985.53316	R	0.69603	0.003072
57985.53398	R	0.696204	0.003073
57985.53479	R	0.693481	0.00307
57985.5356	R	0.688683	0.003053
57985.53642	R	0.690784	0.003046
57985.53723	R	0.684146	0.003024
57985.53804	R	0.685657	0.003052
57985.53885	R	0.681537	0.003092
57985.53967	R	0.686343	0.003057
57985.54048	R	0.685639	0.003035
57985.54129	R	0.692852	0.003051
57985.54211	R	0.688036	0.003064
57985.54292	R	0.688902	0.003051
57985.54373	R	0.686048	0.003088
57985.54454	R	0.688774	0.003052
57985.54536	R	0.686196	0.003082
57985.54617	R	0.690232	0.00306
57985.54698	R	0.691917	0.003124
57985.5478	R	0.688288	0.003242
57985.54861	R	0.694074	0.003278
57985.54942	R	0.686042	0.00309
57985.55024	R	0.689434	0.003133
57985.55105	R	0.688938	0.003159
57985.55186	R	0.689921	0.003115
57985.55267	R	0.691951	0.003242
57985.55349	R	0.688993	0.003106
57985.5543	R	0.68641	0.003074
57985.55511	R	0.690072	0.003054
57985.55593	R	0.690272	0.003103
57985.55674	R	0.695194	0.003203
57985.55755	R	0.686259	0.003108
57985.55836	R	0.68882	0.003107
57985.55918	R	0.689995	0.003205
57985.55999	R	0.696245	0.003403
57985.5608	R	0.691113	0.003123
57985.56161	R	0.689002	0.003114
57985.56242	R	0.693796	0.003384
57985.56324	R	0.698708	0.003253
57985.56405	R	0.693964	0.003421
57985.56486	R	0.689466	0.003187
57985.56567	R	0.691253	0.003177
57985.56649	R	0.696826	0.003141
57985.5673	R	0.690474	0.003145
57985.56811	R	0.691293	0.003105
57985.56892	R	0.686494	0.003123
57985.56974	R	0.694302	0.003143
57985.57055	R	0.688535	0.003102
57985.57136	R	0.691503	0.003145
57985.57217	R	0.694328	0.003176
57985.57299	R	0.698138	0.003197
57985.5738	R	0.693236	0.003172
57985.57461	R	0.697959	0.003526
57985.57542	R	0.702989	0.003275
57985.57624	R	0.702019	0.003144
57985.57705	R	0.707787	0.003407
57985.57786	R	0.708491	0.003201
57985.57867	R	0.710034	0.003239
57985.57949	R	0.718444	0.003263
57985.5803	R	0.718222	0.003246
57985.58111	R	0.72271	0.003286
57985.58192	R	0.730416	0.003266
57985.58273	R	0.724364	0.003251
57985.58355	R	0.730772	0.003421
57985.58436	R	0.731333	0.003341
57985.58517	R	0.751347	0.003674
57985.58599	R	0.742358	0.003443
57985.5868	R	0.73755	0.003367
57985.58761	R	0.74104	0.003454
57985.58842	R	0.746891	0.003402
57985.58924	R	0.746867	0.003553
57985.59005	R	0.744909	0.003481
57985.59086	R	0.75559	0.003435
57985.59167	R	0.755923	0.003498
57985.59249	R	0.762745	0.003523
57985.5933	R	0.76241	0.003458
57985.59411	R	0.770798	0.003598
57985.59493	R	0.772624	0.003556
57985.59574	R	0.772915	0.00369
57985.59655	R	0.773116	0.003575
57985.59736	R	0.773808	0.003466
57985.59818	R	0.779025	0.003468
57985.59899	R	0.78187	0.003478
57985.5998	R	0.77597	0.00343
57985.60061	R	0.78247	0.003473
57985.60143	R	0.776946	0.003449
57985.60224	R	0.791657	0.003547
57985.60305	R	0.792885	0.003708
57985.60386	R	0.79904	0.003628
57985.60467	R	0.798909	0.003539
57985.60549	R	0.79279	0.003641
57985.6063	R	0.79792	0.003728
57985.60711	R	0.808174	0.00372
57985.60792	R	0.802715	0.003688
57985.60874	R	0.793962	0.003547
57985.60955	R	0.804132	0.003575
57985.61036	R	0.812069	0.003635
57985.61117	R	0.805806	0.003541
57985.61199	R	0.805441	0.003542
57985.6128	R	0.80778	0.003519
57985.61361	R	0.813659	0.003582
57985.61442	R	0.802848	0.003884
57985.61524	R	0.804277	0.003844
57985.61605	R	0.816099	0.003706
57985.61686	R	0.817234	0.003614
57985.61767	R	0.81667	0.003585
57985.61848	R	0.816444	0.003557
57985.6193	R	0.811067	0.003546
57985.62011	R	0.822311	0.003706
57985.62092	R	0.82574	0.003671
57985.62173	R	0.824492	0.00369
57985.62254	R	0.82304	0.003636
57985.62336	R	0.809775	0.003579
57985.62417	R	0.818429	0.003634
57985.62498	R	0.817852	0.003592
57985.62579	R	0.819542	0.003606
57985.6266	R	0.822482	0.00364
57985.62742	R	0.845882	0.003789
57985.62823	R	0.820992	0.003626
57985.62904	R	0.820983	0.003634
57985.62986	R	0.827053	0.00363
57985.63067	R	0.824044	0.00365
57985.63148	R	0.829103	0.003652
57985.6323	R	0.839794	0.003677
57985.63311	R	0.827503	0.003644
57985.63392	R	0.843577	0.003713
57985.63474	R	0.833665	0.003748
57985.64089	R	0.834431	0.003709
57985.6417	R	0.837413	0.003761
57985.64251	R	0.834714	0.003713
57985.64333	R	0.831477	0.003719
57985.64414	R	0.838746	0.003757
57985.64495	R	0.82563	0.003682
57985.64577	R	0.833989	0.003744
57985.64658	R	0.851275	0.003846
57985.64739	R	0.836471	0.003795
57985.6482	R	0.835428	0.003748
57985.64901	R	0.842058	0.003823
57985.64983	R	0.846159	0.003867
57985.65069	R	0.828377	0.003723
57985.6515	R	0.839284	0.003798
57985.65231	R	0.847947	0.003836
57985.65313	R	0.844501	0.00381
57985.65394	R	0.851663	0.003975
57985.65475	R	0.837334	0.003837
57985.65557	R	0.858043	0.003954
57985.65638	R	0.858648	0.004592
57985.6583	R	0.853985	0.003907
57985.65911	R	0.848603	0.003842
57985.65992	R	0.843851	0.003836
57985.66074	R	0.86053	0.003961
57985.66155	R	0.837573	0.003846
57985.66236	R	0.837863	0.003869
57985.66318	R	0.8496	0.003912
57985.37314	I	0.764932	0.005148
57985.37395	I	0.780741	0.005261
57985.37477	I	0.775099	0.005121
57985.37558	I	0.774354	0.005184
57985.37639	I	0.782335	0.005198
57985.37725	I	0.789592	0.005184
57985.37806	I	0.787022	0.005132
57985.37887	I	0.787993	0.005191
57985.37968	I	0.792573	0.005159
57985.3805	I	0.792624	0.005145
57985.38131	I	0.798917	0.005188
57985.38212	I	0.80309	0.005174
57985.38293	I	0.810536	0.005176
57985.38375	I	0.801867	0.00522
57985.38456	I	0.800328	0.00521
57985.38537	I	0.806128	0.005146
57985.38618	I	0.816112	0.005332
57985.387	I	0.810959	0.005161
57985.38781	I	0.828959	0.00529
57985.38862	I	0.815267	0.005167
57985.38944	I	0.813847	0.005174
57985.39025	I	0.826351	0.005191
57985.39106	I	0.822762	0.005238
57985.39188	I	0.820087	0.005115
57985.39269	I	0.824843	0.005159
57985.3935	I	0.812664	0.005124
57985.39432	I	0.831454	0.005188
57985.39513	I	0.829793	0.005223
57985.39594	I	0.83882	0.005143
57985.39675	I	0.827613	0.005202
57985.39756	I	0.830883	0.00514
57985.39838	I	0.836953	0.005136
57985.39919	I	0.837776	0.005153
57985.4	I	0.8364	0.005199
57985.40082	I	0.837431	0.005172
57985.40163	I	0.841145	0.005139
57985.40244	I	0.836103	0.005147
57985.40326	I	0.852899	0.005237
57985.40407	I	0.853996	0.005207
57985.40488	I	0.845236	0.005092
57985.40569	I	0.847149	0.00518
57985.40651	I	0.848168	0.005106
57985.40732	I	0.856103	0.005151
57985.40813	I	0.866804	0.005267
57985.40895	I	0.848065	0.00511
57985.40976	I	0.85436	0.005164
57985.41057	I	0.852197	0.005118
57985.41138	I	0.853185	0.005137
57985.4122	I	0.866667	0.005189
57985.41301	I	0.864924	0.005179
57985.41382	I	0.864036	0.005248
57985.41464	I	0.866792	0.005269
57985.41545	I	0.867488	0.005231
57985.41626	I	0.872343	0.005282
57985.41707	I	0.86117	0.005192
57985.41789	I	0.868321	0.005211
57985.4187	I	0.871655	0.005218
57985.41952	I	0.869616	0.005155
57985.42033	I	0.866994	0.005151
57985.42114	I	0.864229	0.005199
57985.42195	I	0.860701	0.005158
57985.42277	I	0.879452	0.005256
57985.42358	I	0.880896	0.005273
57985.42439	I	0.869203	0.005191
57985.4252	I	0.869888	0.005197
57985.42602	I	0.866614	0.00516
57985.42683	I	0.879312	0.005252
57985.42764	I	0.876905	0.005233
57985.42845	I	0.866178	0.005146
57985.42927	I	0.892308	0.005357
57985.43008	I	0.880513	0.005239
57985.43089	I	0.878993	0.005236
57985.43171	I	0.878433	0.00523
57985.43252	I	0.874967	0.005207
57985.43333	I	0.877236	0.005216
57985.43415	I	0.878718	0.005226
57985.43496	I	0.879197	0.005185
57985.43577	I	0.873053	0.005182
57985.43659	I	0.881298	0.005252
57985.4374	I	0.87922	0.005281
57985.43821	I	0.876595	0.005269
57985.43903	I	0.878283	0.005259
57985.43984	I	0.884305	0.005283
57985.44066	I	0.876971	0.005224
57985.44147	I	0.87308	0.005203
57985.44228	I	0.879717	0.005253
57985.4431	I	0.881402	0.005286
57985.44391	I	0.895114	0.005289
57985.44472	I	0.889695	0.005382
57985.44554	I	0.903103	0.005469
57985.44635	I	0.890248	0.005336
57985.44716	I	0.888897	0.005337
57985.44797	I	0.886923	0.005314
57985.44879	I	0.884782	0.00525
57985.4496	I	0.881975	0.00534
57985.45042	I	0.873588	0.005243
57985.45123	I	0.887096	0.005309
57985.45204	I	0.883109	0.005274
57985.45285	I	0.885202	0.005286
57985.45367	I	0.887583	0.005367
57985.45448	I	0.869284	0.005196
57985.45529	I	0.871964	0.005289
57985.4561	I	0.874265	0.005231
57985.45692	I	0.873984	0.005254
57985.45773	I	0.87938	0.005351
57985.45854	I	0.876436	0.005241
57985.45935	I	0.874465	0.00526
57985.46017	I	0.875115	0.005314
57985.46098	I	0.877017	0.005313
57985.46179	I	0.862223	0.005274
57985.4626	I	0.873613	0.005353
57985.46342	I	0.86735	0.00537
57985.46423	I	0.863756	0.005328
57985.46504	I	0.859149	0.005274
57985.46586	I	0.875012	0.005368
57985.46667	I	0.856153	0.005263
57985.46748	I	0.868164	0.005321
57985.4683	I	0.879035	0.00538
57985.46911	I	0.868123	0.005401
57985.46992	I	0.858304	0.005303
57985.47073	I	0.858421	0.005321
57985.47155	I	0.879309	0.005446
57985.47236	I	0.858313	0.005316
57985.47317	I	0.865998	0.005358
57985.47398	I	0.859341	0.005389
57985.4748	I	0.859527	0.005347
57985.47561	I	0.850354	0.005285
57985.47642	I	0.855701	0.005324
57985.47724	I	0.858276	0.005381
57985.47805	I	0.861007	0.005373
57985.47886	I	0.855049	0.005292
57985.47968	I	0.855471	0.00538
57985.48049	I	0.844487	0.005297
57985.4813	I	0.841791	0.005248
57985.48211	I	0.853904	0.005322
57985.48293	I	0.858045	0.00535
57985.48374	I	0.857373	0.005323
57985.48455	I	0.845013	0.00534
57985.48537	I	0.851138	0.005372
57985.48618	I	0.84504	0.00531
57985.48699	I	0.843726	0.005292
57985.48781	I	0.835472	0.005232
57985.48862	I	0.836614	0.00528
57985.48943	I	0.858296	0.005386
57985.49025	I	0.845371	0.005296
57985.49106	I	0.83377	0.005263
57985.49187	I	0.833782	0.00524
57985.49269	I	0.843675	0.005317
57985.4935	I	0.838131	0.005289
57985.49432	I	0.821377	0.005247
57985.49513	I	0.830201	0.005259
57985.49594	I	0.836333	0.005314
57985.49675	I	0.82633	0.005285
57985.49756	I	0.828174	0.005313
57985.49838	I	0.816932	0.005277
57985.49919	I	0.820853	0.005319
57985.5	I	0.815698	0.005242
57985.50081	I	0.803884	0.00522
57985.50163	I	0.806809	0.005255
57985.50244	I	0.810585	0.005278
57985.50325	I	0.808786	0.005272
57985.50407	I	0.806291	0.005259
57985.50488	I	0.797351	0.005242
57985.50569	I	0.795982	0.005182
57985.50651	I	0.796262	0.005236
57985.50732	I	0.800439	0.005235
57985.50813	I	0.796556	0.005233
57985.50895	I	0.787912	0.005168
57985.50976	I	0.787739	0.005126
57985.51057	I	0.779768	0.005103
57985.51139	I	0.794011	0.005242
57985.5122	I	0.783753	0.005184
57985.51301	I	0.783415	0.005154
57985.51382	I	0.770216	0.005136
57985.51463	I	0.764951	0.005009
57985.51545	I	0.774336	0.005112
57985.51626	I	0.770081	0.005089
57985.51707	I	0.760883	0.005065
57985.51789	I	0.768809	0.005028
57985.5187	I	0.755053	0.00508
57985.51951	I	0.742001	0.004994
57985.52032	I	0.747467	0.004994
57985.52113	I	0.746145	0.005059
57985.52195	I	0.742109	0.005014
57985.52276	I	0.742744	0.005035
57985.52357	I	0.735781	0.005016
57985.52439	I	0.720705	0.004975
57985.5252	I	0.730173	0.00503
57985.52601	I	0.734233	0.004966
57985.52683	I	0.732285	0.005003
57985.52764	I	0.722574	0.004973
57985.52845	I	0.716187	0.004919
57985.52926	I	0.724295	0.005005
57985.53008	I	0.718252	0.004956
57985.53089	I	0.712269	0.004989
57985.53171	I	0.705555	0.005054
57985.53252	I	0.709308	0.005066
57985.53333	I	0.696367	0.004863
57985.53414	I	0.702515	0.005005
57985.53496	I	0.713115	0.004971
57985.53577	I	0.711511	0.005116
57985.53658	I	0.7014	0.004933
57985.53739	I	0.704856	0.004962
57985.53821	I	0.702457	0.004924
57985.53902	I	0.711311	0.005103
57985.54065	I	0.706401	0.004986
57985.54146	I	0.709766	0.004969
57985.54227	I	0.704122	0.004997
57985.54308	I	0.696125	0.00498
57985.5439	I	0.711383	0.005048
57985.54471	I	0.700521	0.004939
57985.54552	I	0.703386	0.005023
57985.54634	I	0.713433	0.005244
57985.54715	I	0.70491	0.005164
57985.54796	I	0.692286	0.005168
57985.54878	I	0.706798	0.005433
57985.54959	I	0.703129	0.005166
57985.5504	I	0.699473	0.005148
57985.55121	I	0.696406	0.005131
57985.55203	I	0.708422	0.005335
57985.55284	I	0.709526	0.005421
57985.55365	I	0.704276	0.005101
57985.55447	I	0.693786	0.004955
57985.55528	I	0.704844	0.004961
57985.55609	I	0.699639	0.004943
57985.5569	I	0.716774	0.00519
57985.55772	I	0.696051	0.005163
57985.55853	I	0.708044	0.005109
57985.55934	I	0.701926	0.005453
57985.56015	I	0.702506	0.005786
57985.56097	I	0.698716	0.005046
57985.56178	I	0.702529	0.005266
57985.56259	I	0.701112	0.005805
57985.5634	I	0.702967	0.005293
57985.56421	I	0.710605	0.005486
57985.56503	I	0.696121	0.005091
57985.56584	I	0.703744	0.005172
57985.56665	I	0.695538	0.005
57985.56747	I	0.703583	0.005123
57985.56828	I	0.706518	0.005115
57985.56909	I	0.698558	0.005034
57985.5699	I	0.709616	0.005087
57985.57072	I	0.71603	0.005132
57985.57153	I	0.696914	0.004958
57985.57234	I	0.710673	0.005248
57985.57315	I	0.712665	0.005177
57985.57397	I	0.715145	0.005154
57985.57478	I	0.71739	0.005775
57985.57559	I	0.705439	0.005479
57985.5764	I	0.718703	0.005113
57985.57721	I	0.728753	0.00561
57985.57803	I	0.724581	0.005281
57985.57884	I	0.721714	0.005269
57985.57965	I	0.732373	0.005227
57985.58046	I	0.737037	0.005309
57985.58128	I	0.731795	0.005186
57985.58209	I	0.739755	0.005227
57985.5829	I	0.737125	0.00509
57985.58371	I	0.725119	0.005325
57985.58453	I	0.742444	0.005811
57985.58534	I	0.745242	0.005558
57985.58615	I	0.752486	0.005489
57985.58696	I	0.746077	0.005384
57985.58778	I	0.749856	0.005578
57985.58859	I	0.753452	0.005493
57985.5894	I	0.754379	0.005665
57985.59021	I	0.753615	0.005763
57985.59103	I	0.777872	0.005545
57985.59184	I	0.768414	0.005657
57985.59265	I	0.781327	0.005737
57985.59347	I	0.767977	0.005471
57985.59428	I	0.771044	0.005491
57985.59509	I	0.780059	0.005614
57985.59591	I	0.788713	0.006069
57985.59672	I	0.785264	0.005592
57985.59753	I	0.795084	0.005571
57985.59834	I	0.793255	0.005498
57985.59915	I	0.795871	0.005478
57985.59997	I	0.796442	0.005467
57985.60078	I	0.788495	0.005442
57985.60159	I	0.800534	0.005439
57985.6024	I	0.804981	0.005616
57985.60322	I	0.805958	0.005972
57985.60403	I	0.797649	0.005751
57985.60484	I	0.815304	0.005724
57985.60565	I	0.796415	0.005924
57985.60646	I	0.817215	0.005886
57985.60728	I	0.818477	0.005801
57985.60809	I	0.822426	0.005951
57985.6089	I	0.810118	0.005566
57985.60971	I	0.82814	0.005654
57985.61053	I	0.824117	0.005668
57985.61134	I	0.813589	0.005616
57985.61215	I	0.819368	0.005474
57985.61297	I	0.818988	0.005575
57985.61378	I	0.819252	0.005611
57985.61459	I	0.845583	0.006872
57985.6154	I	0.835811	0.007088
57985.61621	I	0.812402	0.005851
57985.61703	I	0.828312	0.005651
57985.61784	I	0.83084	0.00555
57985.61865	I	0.818883	0.005499
57985.61946	I	0.82761	0.005561
57985.62027	I	0.818116	0.005741
57985.62108	I	0.832515	0.005826
57985.6219	I	0.816236	0.005666
57985.62271	I	0.827811	0.005599
57985.62352	I	0.836319	0.005691
57985.62433	I	0.83793	0.005734
57985.62515	I	0.831081	0.005672
57985.62596	I	0.837803	0.00573
57985.62677	I	0.837852	0.005631
57985.62758	I	0.841206	0.005743
57985.6284	I	0.838935	0.005759
57985.62921	I	0.842469	0.005671
57985.63002	I	0.844802	0.005593
57985.63084	I	0.856898	0.005806
57985.63165	I	0.837047	0.005666
57985.63246	I	0.845921	0.005705
57985.63328	I	0.820263	0.005675
57985.63409	I	0.863245	0.005814
57985.6349	I	0.858678	0.005822
57985.64106	I	0.853288	0.005803
57985.64187	I	0.854438	0.005829
57985.64268	I	0.850741	0.00582
57985.64349	I	0.855535	0.005845
57985.64431	I	0.850802	0.005868
57985.64512	I	0.854647	0.005805
57985.64593	I	0.85256	0.00591
57985.64674	I	0.871747	0.00606
57985.64755	I	0.835232	0.00582
57985.64836	I	0.857615	0.006011
57985.64918	I	0.842695	0.005966
57985.64999	I	0.847102	0.005932
57985.65086	I	0.841727	0.005798
57985.65167	I	0.858683	0.005963
57985.65248	I	0.867622	0.005904
57985.65329	I	0.851938	0.006345
57985.65411	I	0.865317	0.006326
57985.65492	I	0.86272	0.00615
57985.65573	I	0.856632	0.006156
57985.65847	I	0.861076	0.006043
57985.65928	I	0.855573	0.006027
57985.66009	I	0.855808	0.006047
57985.6609	I	0.869784	0.006159
57985.66172	I	0.861926	0.006033
57985.66253	I	0.862857	0.006169
57985.66334	I	0.849831	0.005967
57985.66437	I	0.851935	0.007542
57985.6652	I	0.862281	0.006087
58003.34495	B	0.629453	0.00357
58003.34578	B	0.632698	0.003496
58003.3466	B	0.634711	0.003547
58003.34743	B	0.625404	0.003343
58003.34825	B	0.638263	0.003341
58003.34908	B	0.632048	0.0033
58003.3499	B	0.634731	0.00326
58003.35073	B	0.632082	0.003236
58003.35155	B	0.632259	0.00323
58003.35238	B	0.636547	0.003214
58003.3532	B	0.631889	0.003192
58003.35403	B	0.632558	0.003227
58003.35485	B	0.634482	0.003216
58003.35568	B	0.63407	0.003269
58003.3565	B	0.633258	0.003196
58003.35733	B	0.631564	0.003248
58003.35816	B	0.630384	0.003276
58003.35898	B	0.632077	0.003206
58003.3598	B	0.636833	0.003257
58003.36063	B	0.632579	0.003224
58003.36145	B	0.6369	0.003275
58003.36228	B	0.630297	0.003219
58003.3631	B	0.631842	0.003273
58003.36393	B	0.631223	0.003231
58003.36475	B	0.642254	0.003261
58003.36557	B	0.632096	0.003248
58003.3664	B	0.63703	0.003265
58003.36722	B	0.629281	0.00331
58003.36805	B	0.631375	0.00325
58003.36887	B	0.628753	0.00327
58003.3697	B	0.637542	0.003304
58003.37052	B	0.633987	0.003295
58003.37135	B	0.633625	0.00328
58003.37217	B	0.635614	0.003303
58003.37299	B	0.630544	0.003243
58003.37382	B	0.637427	0.00329
58003.37465	B	0.638361	0.003309
58003.37547	B	0.635221	0.003318
58003.3763	B	0.634799	0.003323
58003.37712	B	0.642039	0.003313
58003.37795	B	0.644856	0.003322
58003.37878	B	0.641102	0.0034
58003.3796	B	0.637693	0.003303
58003.38043	B	0.643229	0.00336
58003.38125	B	0.644977	0.003336
58003.38207	B	0.651948	0.003375
58003.3829	B	0.650514	0.003396
58003.38372	B	0.657175	0.003376
58003.38455	B	0.661318	0.003427
58003.38538	B	0.652491	0.003358
58003.3862	B	0.668094	0.003443
58003.38703	B	0.657023	0.003416
58003.38785	B	0.66443	0.003405
58003.38867	B	0.666898	0.003417
58003.3895	B	0.671697	0.003489
58003.39032	B	0.675228	0.003477
58003.39115	B	0.682068	0.003482
58003.39198	B	0.676853	0.003457
58003.3928	B	0.676769	0.003447
58003.39363	B	0.678003	0.0035
58003.39445	B	0.684083	0.003494
58003.39528	B	0.687003	0.003519
58003.3961	B	0.695612	0.003671
58003.39693	B	0.696663	0.003582
58003.39775	B	0.695011	0.00354
58003.39858	B	0.704871	0.003576
58003.3994	B	0.702078	0.003564
58003.40023	B	0.705972	0.003594
58003.40105	B	0.710542	0.003621
58003.40188	B	0.704953	0.003661
58003.4027	B	0.708141	0.00357
58003.40353	B	0.720564	0.003671
58003.40435	B	0.721186	0.003709
58003.40518	B	0.712397	0.003692
58003.406	B	0.720469	0.003662
58003.40683	B	0.718927	0.003694
58003.40766	B	0.721892	0.00365
58003.40848	B	0.730999	0.003712
58003.40931	B	0.718327	0.003651
58003.41013	B	0.727735	0.003879
58003.41096	B	0.729598	0.003727
58003.41178	B	0.725575	0.003664
58003.4126	B	0.725354	0.003656
58003.41343	B	0.731366	0.003674
58003.41426	B	0.742071	0.003726
58003.41508	B	0.737954	0.003798
58003.41591	B	0.746667	0.003775
58003.41673	B	0.742366	0.003809
58003.41758	B	0.732461	0.003906
58003.4184	B	0.743988	0.00382
58003.41923	B	0.739844	0.003838
58003.42005	B	0.741945	0.003788
58003.42088	B	0.748282	0.003795
58003.4217	B	0.7475	0.003794
58003.42253	B	0.745511	0.003984
58003.42336	B	0.751205	0.003807
58003.42418	B	0.75441	0.003761
58003.42501	B	0.754234	0.003824
58003.42583	B	0.746999	0.003795
58003.42666	B	0.752894	0.003854
58003.42748	B	0.751089	0.003721
58003.42831	B	0.756523	0.004176
58003.42914	B	0.754152	0.003856
58003.42996	B	0.754925	0.003778
58003.43079	B	0.757063	0.003787
58003.43161	B	0.761017	0.003797
58003.43244	B	0.764281	0.003807
58003.43326	B	0.754336	0.00393
58003.43409	B	0.765081	0.003798
58003.43491	B	0.76551	0.003833
58003.43574	B	0.760939	0.003825
58003.43656	B	0.758909	0.003844
58003.43739	B	0.763529	0.003873
58003.43821	B	0.761451	0.003835
58003.43904	B	0.759933	0.003893
58003.43987	B	0.7721	0.003887
58003.44069	B	0.767328	0.003824
58003.44152	B	0.76475	0.003841
58003.44234	B	0.77023	0.00383
58003.44317	B	0.76574	0.00388
58003.44399	B	0.766533	0.003887
58003.44482	B	0.76297	0.003818
58003.44564	B	0.768362	0.003836
58003.44647	B	0.767735	0.003909
58003.44729	B	0.77447	0.003999
58003.44812	B	0.770866	0.003866
58003.44894	B	0.768837	0.003851
58003.44977	B	0.765131	0.003851
58003.45065	B	0.767659	0.00398
58003.45147	B	0.766862	0.003858
58003.4523	B	0.768355	0.003884
58003.45312	B	0.772252	0.003868
58003.45395	B	0.778396	0.004028
58003.45477	B	0.773693	0.003835
58003.45559	B	0.771126	0.004396
58003.45642	B	0.768093	0.003854
58003.45724	B	0.778307	0.003905
58003.45807	B	0.772191	0.003878
58003.45889	B	0.781351	0.003926
58003.45972	B	0.775792	0.003982
58003.46055	B	0.772473	0.004067
58003.46137	B	0.775744	0.003949
58003.4622	B	0.775224	0.003893
58003.46302	B	0.765789	0.003862
58003.46385	B	0.774743	0.0039
58003.46468	B	0.767338	0.003874
58003.4655	B	0.772868	0.003908
