J.D.-2400000	FILTER	Relative Flux	Relative Flux Error
57985.52464	B	0.657169	0.003014
57985.52545	B	0.655873	0.003025
57985.52627	B	0.658685	0.003037
57985.52708	B	0.657134	0.003035
57985.52789	B	0.648486	0.003001
57985.52871	B	0.648107	0.003011
57985.52952	B	0.648904	0.003016
57985.53033	B	0.647063	0.003018
57985.53115	B	0.640566	0.002989
57985.53196	B	0.640722	0.003088
57985.53277	B	0.637111	0.00302
57985.53358	B	0.635019	0.002986
57985.5344	B	0.639004	0.002998
57985.53521	B	0.63504	0.002976
57985.53602	B	0.637614	0.003098
57985.53683	B	0.6406	0.003039
57985.53765	B	0.621618	0.002952
57985.53846	B	0.632546	0.003005
57985.53927	B	0.636625	0.003
57985.54009	B	0.630036	0.003007
57985.5409	B	0.63434	0.003011
57985.54171	B	0.631659	0.002996
57985.54253	B	0.634975	0.003
57985.54334	B	0.634201	0.00302
57985.54415	B	0.635048	0.00299
57985.54496	B	0.628055	0.002993
57985.54578	B	0.631687	0.002996
57985.54659	B	0.63216	0.003068
57985.54741	B	0.636089	0.00326
57985.54822	B	0.629119	0.003064
57985.54903	B	0.625889	0.003072
57985.54984	B	0.631564	0.003125
57985.55066	B	0.634264	0.003127
57985.55147	B	0.630916	0.003052
57985.55228	B	0.628165	0.003196
57985.55309	B	0.63299	0.003155
57985.55391	B	0.629717	0.003071
57985.55472	B	0.632242	0.003038
57985.55553	B	0.633419	0.003068
57985.55634	B	0.629354	0.00302
57985.55716	B	0.633343	0.00312
57985.55797	B	0.636426	0.003184
57985.55878	B	0.634025	0.003085
57985.55959	B	0.637696	0.003299
57985.56041	B	0.634437	0.003183
57985.56122	B	0.634951	0.003153
57985.56203	B	0.629503	0.003143
57985.56285	B	0.628936	0.00334
57985.56366	B	0.634229	0.003076
57985.56447	B	0.640171	0.003183
57985.56528	B	0.630138	0.003082
57985.56609	B	0.635185	0.003102
57985.56691	B	0.636535	0.003081
57985.56772	B	0.628276	0.003071
57985.56853	B	0.631541	0.00308
57985.56934	B	0.642744	0.003158
57985.57016	B	0.638854	0.003107
57985.57097	B	0.639158	0.003114
57985.57178	B	0.638577	0.003083
57985.57259	B	0.62955	0.003221
57985.57341	B	0.634802	0.003148
57985.57422	B	0.639987	0.003204
57985.57503	B	0.640026	0.003297
57985.57584	B	0.646132	0.00328
57985.57665	B	0.655613	0.003243
57985.57747	B	0.6484	0.00328
57985.57828	B	0.648068	0.003232
57985.57909	B	0.65613	0.00319
57985.5799	B	0.662575	0.003249
57985.58072	B	0.659374	0.003205
57985.58153	B	0.655385	0.003175
57985.58234	B	0.656404	0.003202
57985.58315	B	0.660846	0.003209
57985.58397	B	0.670745	0.003362
57985.58478	B	0.670887	0.003318
57985.58559	B	0.673754	0.003557
57985.58641	B	0.682541	0.003338
57985.58722	B	0.673389	0.003291
57985.58803	B	0.684912	0.003362
57985.58884	B	0.682479	0.003462
57985.58966	B	0.687743	0.003452
57985.59047	B	0.688008	0.003408
57985.59128	B	0.687432	0.003353
57985.59209	B	0.694545	0.003418
57985.59291	B	0.685003	0.003415
57985.59372	B	0.695053	0.003457
57985.59453	B	0.709693	0.003512
57985.59535	B	0.70908	0.003488
57985.59616	B	0.703622	0.003542
